ONTOLOGY	ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
BP	GO:2000514	regulation of CD4-positive, alpha-beta T cell activation	48	0.5890042012303356	2.352147491454079	3.887576444270772e-7	0.005170865428524554	0.005040754383213407	975	tags=35%, list=12%, signal=32%	NLRP3/IFNG/IRF4/IL2RA/VSIR/CD55/IL4R/RUNX1/IL12RB1/CD83/NFKBIZ/CARD11/CD160/CD3E/ZC3H12A/SOCS5/RARA
BP	GO:2000516	positive regulation of CD4-positive, alpha-beta T cell activation	28	0.6586476540630227	2.3056618803499007	1.5467581262392896e-5	0.04660353009577818	0.045430876484933505	975	tags=43%, list=12%, signal=38%	NLRP3/IFNG/CD55/IL4R/IL12RB1/CD83/NFKBIZ/CARD11/CD160/CD3E/SOCS5/RARA
BP	GO:0090634	microglial cell mediated cytotoxicity	4	0.9758045544673235	1.8759360939485363	2.1022568271157737e-5	0.04660353009577818	0.045430876484933505	98	tags=50%, list=1%, signal=49%	ITGAM/CX3CR1
BP	GO:1904149	regulation of microglial cell mediated cytotoxicity	4	0.9758045544673235	1.8759360939485363	2.1022568271157737e-5	0.04660353009577818	0.045430876484933505	98	tags=50%, list=1%, signal=49%	ITGAM/CX3CR1
BP	GO:0002694	regulation of leukocyte activation	312	0.28632632693494625	1.5134601818938165	1.851690534367155e-5	0.04660353009577818	0.045430876484933505	1026	tags=21%, list=12%, signal=20%	NLRP3/IFNG/SPHK1/IRF4/IL2RA/TSPAN32/PELI1/ITGAM/VSIR/CD55/AHR/TNFRSF4/IL4R/GPR137B/IL15RA/GPR183/CD226/VAV1/NEDD9/RUNX1/FGL2/IL12RB1/SLC7A1/ID2/HMGB3/MAD1L1/NR4A3/CDKN1A/CD83/RABGEF1/YES1/NFKBIZ/KAT5/TNFRSF9/TNFRSF1B/LYN/MAP3K8/CARD11/FBXO7/SLC15A4/CD160/IL6ST/CD3E/CRTAM/ITGB2/TGFB1/DUSP10/SHLD3/HAVCR2/JUND/DCAF15/VAMP7/HSPD1/ZC3H12A/PRNP/SHLD1/EXOSC6/TFRC/PPP2R3C/SOCS5/PNP/TNIP2/TNFSF14/RARA/LGALS3/IRS2/XRCC6
BP	GO:0098609	cell-cell adhesion	332	0.28284585539438745	1.507575702047147	1.4613697546352096e-5	0.04660353009577818	0.045430876484933505	940	tags=21%, list=11%, signal=20%	NECTIN3/NLRP3/IFNG/ITGAX/IL2RA/ST3GAL4/PALLD/TSPAN32/PELI1/AMIGO2/ITGAM/VSIR/CD55/CX3CR1/IL1RN/IL4R/NINJ1/VAV1/ICAM1/MYADM/PIK3CB/ITGA6/CSRP1/RUNX1/CLSTN3/FGL2/IL12RB1/SLC7A1/HSPB1/MAD1L1/NR4A3/CD83/YES1/ITGAV/NFKBIZ/EPB41L5/CD58/TENM1/KAT5/EZR/BAIAP2/LYN/NFAT5/MAP3K8/NF2/CARD11/VMP1/PRKCD/PKD1/CD160/IL6ST/CD3E/ANXA2/CTNNA1/IRAK1/CRTAM/ITGB2/TGFB1/DUSP10/TNIP1/S100A8/HAVCR2/HSPD1/ZC3H12A/PRNP/RIC8A/SERPINB8/TFRC/SOCS5/PNP/TNFSF14
