"","primerid","Pr(>Chisq)","coef","ci.hi","ci.lo","fdr","label"
"8167","DNAJB2",0.370555460576588,0.00206462420288112,0.0147497886682874,-0.0106205402625252,0.940500823473008,FALSE
"8168","DNAJB4",0.331243668471239,-0.00717165612595857,0.00317843745165849,-0.0175217497035756,0.867958341482564,FALSE
"8169","DNAJB5",0.125870259514908,-0.00675660112370189,0.0038692465656075,-0.0173824488130113,0.418770551004621,FALSE
"8170","DNAJB5-DT",1,NA,NA,NA,1,FALSE
"8171","DNAJB6",0.143318395438755,-0.0353004698850233,0.00250599844674743,-0.0731069382167941,0.463292671527384,FALSE
"8172","DNAJB7",1,NA,NA,NA,1,FALSE
"8173","DNAJB9",8.32772580639907e-27,-0.0644806617014193,-0.0369264423415926,-0.0920348810612459,9.80497183416753e-25,FALSE
"8174","DNAJC1",0.00457744446492093,0.0152969875487818,0.0357237180890174,-0.00512974299145371,0.0282087178089762,FALSE
"8175","DNAJC10",0.000141669682954076,0.0196985393569005,0.0311760234570765,0.0082210552567245,0.00138232301604316,FALSE
"8176","DNAJC11",0.623188949003048,-0.00165382882308181,0.0047965777666978,-0.00810423541286141,1,FALSE
"8177","DNAJC12",1,NA,NA,NA,1,FALSE
"8178","DNAJC13",0.6679834467928,0.00154034564512905,0.010773372312314,-0.00769268102205588,1,FALSE
"8179","DNAJC14",0.469661901639671,-0.00436568553334026,0.00318431669516359,-0.0119156877618441,1,FALSE
"8180","DNAJC15",5.13274772142779e-08,0.0626837479387019,0.0820969602546575,0.0432705356227463,1.01757083685893e-06,FALSE
"8181","DNAJC16",0.000276244752598978,-0.00396184425140032,0.00468837250335005,-0.0126120610061507,0.00249550513291993,FALSE
"8182","DNAJC17",0.136970841750606,0.00181355693440852,0.00946290653691414,-0.0058357926680971,0.447552119830495,FALSE
"8183","DNAJC18",0.99737529716872,0.00019488523066609,0.00547052284197482,-0.00508075238064264,1,FALSE
"8184","DNAJC19",0.0698909030958764,0.0106032411342623,0.0242486752411115,-0.00304219297258687,0.268478867013034,FALSE
"8185","DNAJC2",7.27008258438307e-05,0.000611379594846306,0.0232572807235892,-0.0220345215338966,0.000768453168133818,FALSE
"8186","DNAJC21",0.0013345552367446,0.0208544293708878,0.0434766602126484,-0.00176780147087283,0.00978319928479017,FALSE
"8187","DNAJC24",0.267946599468027,-0.00487536166115968,0.00496483418341515,-0.0147155575057345,0.744928805263793,FALSE
"8188","DNAJC25",0.0806757457667442,0.0105358784370031,0.0209919899747221,7.97668992840901e-05,0.299327920174126,FALSE
"8189","DNAJC27",0.982592574791686,-0.000686114785981462,0.00653327800281568,-0.00790550757477861,1,FALSE
"8190","DNAJC27-AS1",0.574693919120607,NA,NA,NA,1,FALSE
"8191","DNAJC28",1,NA,NA,NA,1,FALSE
"8192","DNAJC3",7.30029544843814e-29,-0.172021762032447,-0.125213512808282,-0.218830011256611,9.66969758992184e-27,FALSE
"8193","DNAJC3-DT",0.809959024748968,-0.000443547278965671,0.00652541344972971,-0.00741250800766105,1,FALSE
"8194","DNAJC30",0.000115508742818173,0.00994541399468047,0.0151982669658503,0.00469256102351061,0.00115416161553302,FALSE
"8195","DNAJC4",1.29481720897938e-10,0.0563029563628501,0.0708295866703506,0.0417763260553496,3.62497504754292e-09,FALSE
"8196","DNAJC5",0.000964001960821541,-0.0322113493252337,-0.0110002377260902,-0.0534224609243771,0.00741907699114426,FALSE
"8197","DNAJC5B",1,NA,NA,NA,1,FALSE
"8198","DNAJC6",1,NA,NA,NA,1,FALSE
"8199","DNAJC7",0.0289821413606591,-0.0246447283340807,0.00375130813400002,-0.0530407648021614,0.132289149656784,FALSE
