"","logFC","FDR","pval","gene","label"
"1",0.0206477565335361,0.00227556752746991,0.983546317663416,"ABCF1",FALSE
"2",-0.0532142399278243,0.0337601879905428,0.67581069204555,"AC020916.1",FALSE
"3",0.0233683871110202,0.0337601879905428,0.686747981426651,"AC025164.1",FALSE
"4",0.0581549910968094,0.00873364953610697,0.853984383372714,"AC026979.2",FALSE
"5",-0.0666987214556907,0.00659644185498322,0.882276683361326,"AC044849.1",FALSE
"6",-0.0541624413112904,0.013733220708938,0.795793389449995,"AC103591.3",FALSE
"7",NA,0.615644596793098,0.0421155427759422,"AC253572.2",FALSE
"8",-0.0416201352849743,0.013733220708938,0.796094157599583,"ACTB",FALSE
"9",0.360774653316037,0.304470947768797,0.162365340725966,"ACTG1",FALSE
"10",0.150900260680197,0.079966808539227,0.506982804406815,"ACTN4",FALSE
"11",0.172293214607289,0.0805595508982564,0.504416173064195,"ADGRE5",FALSE
"12",0.0118308708216976,0.00227556752746991,0.969793091252626,"ADK",FALSE
"13",-0.00865181970146497,0.00227556752746991,0.974486827812338,"ADTRP",FALSE
"14",0.106019869543526,0.0182789068318503,0.759255107061393,"AHI1",FALSE
"15",0.145533319828939,0.477958933979626,0.0735013694585132,"AHNAK",FALSE
"16",0.210745670670323,0.0990817544067354,0.451012149148174,"AHR",FALSE
"17",0.0677229946849326,0.00227556752746991,0.961143827924161,"AKAP9",FALSE
"18",NA,0.900638678943693,0.0143111449248216,"AL021155.5",FALSE
"19",NA,0.671730143323874,0.0346097631221313,"AL499604.1",FALSE
"20",-0.229130311970303,0.193021611479558,0.279029961848877,"AL627171.2",FALSE
"21",0.670821889672046,0.824604823087366,0.0188149231596703,"ALOX5AP",FALSE
"22",0.0926931611072139,0.013733220708938,0.777562720961044,"ANKRD12",FALSE
"23",-0.0249308994325478,0.0266285095921424,0.711234100956379,"ANTXR2",FALSE
"24",0.929643933350687,2.02187618048047,0.000193180196164759,"ANXA1",TRUE
"25",0.803254572969043,1.12116767610683,0.00443995045662989,"ANXA2",FALSE
"26",-0.0704170375367209,0.00227556752746991,0.944364919898357,"ANXA5",FALSE
"27",0.0833472160005746,0.0508586729179816,0.624024992125331,"AP000787.1",FALSE
"28",0.223672177042984,0.0805595508982564,0.504121907171928,"APOBEC3G",FALSE
"29",0.0876166023997131,0.0973564824363092,0.457250544787297,"AQP3",FALSE
"30",-0.0843044641189281,0.0182789068318503,0.75412023772898,"ARHGAP26",FALSE
"31",-0.0830729973771137,1.12116767610683,0.00417085880882704,"ARHGAP5",FALSE
"32",-0.11014331036954,0.0182789068318503,0.758158151326696,"ARID4A",FALSE
"33",0.418848066364581,0.961271887708007,0.00982863986675465,"ARID4B",FALSE
"34",0.377084770709118,0.193021611479558,0.272116101175655,"ARID5B",FALSE
"35",-0.0139073584310839,0.0357462665610726,0.66527313404473,"ARL4A",FALSE
"36",0.163070483648526,0.0652255332260874,0.573195117997397,"ARRDC3",FALSE
"37",-0.0690993369229646,0.013733220708938,0.790779190886801,"ASAP1",FALSE
"38",-0.294544241702021,0.115006627271569,0.388945607293777,"ATM",FALSE
"39",-0.0662518637991584,0.195812200384179,0.261821999163219,"ATP1B3",FALSE
"40",0.0875559239372498,0.0229711949726205,0.736518264907613,"ATP2B1",FALSE
"41",-0.0763256373569055,0.00659644185498322,0.871960245272226,"ATP2B4",FALSE
"42",-0.401783595985647,0.297263033067191,0.16626521457527,"ATRX",FALSE
"43",NA,0.961271887708007,0.00987152790201275,"ATXN1",FALSE
"44",0.366190403571259,0.309980139568356,0.155304410725608,"BATF",FALSE
"45",-0.341287736604983,0.195812200384179,0.253555623459759,"BAZ1A",FALSE
"46",0.23429127586916,0.854151691881636,0.0167386508864586,"BBX",FALSE
"47",-0.251854339237633,0.103463942816667,0.441798733250673,"BCL2",FALSE
"48",-0.405684191172416,0.296965157877963,0.169752971122097,"BCLAF1",FALSE
"49",0.0633660746665405,0.0831581419395856,0.487198611844005,"BDP1",FALSE
"50",NA,0.477958933979626,0.0735975598639467,"BEX3",FALSE
"51",0.331969269775857,0.142809938199438,0.347696331824547,"BIRC2",FALSE
"52",-0.395559227766837,0.183298860162043,0.291583966688997,"BIRC3",FALSE
"53",0.0475326177754511,0.00227556752746991,0.978939955817048,"BOD1L1",FALSE
"54",-0.0454018076514261,0.105492708064791,0.431164536827973,"BPTF",FALSE
"55",-0.441019059420236,1.27337398212478,0.00228547193484208,"BTG2",FALSE
"56",-0.0929335007764157,0.0247585421223217,0.726610964006711,"BTG3",FALSE
"57",0.259752659577236,0.297263033067191,0.167359579291039,"C12orf75",FALSE
"58",-0.0503390172976804,0.00351467596556722,0.918741512782593,"C1orf162",FALSE
"59",0.155405544929831,0.0610023719083205,0.591408791741636,"CASP8AP2",FALSE
"60",0.281011342435962,0.929674609533876,0.0111473324816798,"CBLB",FALSE
"61",0.169009727625984,0.226388351864555,0.223833143036528,"CCDC186",FALSE
"62",-0.277859859009435,0.326127023691363,0.142342125216125,"CCL3",FALSE
"63",0.0754870705192324,0.00659644185498322,0.893770230140188,"CCL4",FALSE
"64",-0.0938336297083854,0.0337601879905428,0.680016970304995,"CCL4L2",FALSE
"65",-0.320011305392005,0.238164910899674,0.210018348436889,"CCL5",FALSE
"66",-0.174312651416794,0.109191574327823,0.415569128636362,"CCND2",FALSE
"67",-0.195393254514292,0.113956197617955,0.392417634314127,"CCNL1",FALSE
"68",-0.0939490254266875,0.0337601879905428,0.691296056669543,"CCR4",FALSE
"69",0.250993909040673,0.331898246452632,0.130352604352516,"CCR7",FALSE
"70",0.202790629053962,0.0448405229357104,0.640777987418589,"CD2",FALSE
"71",-0.185057838322991,0.326127023691363,0.13844912312949,"CD52",FALSE
"72",-0.0353818809814777,0.0448405229357104,0.641550478063223,"CD55",FALSE
"73",-0.0326334196284661,0.103463942816667,0.444061160590917,"CD63",FALSE
"74",0.184828717610937,0.0652255332260874,0.563514099095008,"CD69",FALSE
"75",-0.1050653917693,0.00351467596556722,0.907842859501735,"CD7",FALSE
"76",0.528376298027033,0.671730143323874,0.0332695251473354,"CD74",FALSE
"77",0.0419634578315921,0.0652255332260874,0.561222540564532,"CD82",FALSE
"78",-0.032932492214411,0.908749546516343,0.0126932089179335,"CD84",FALSE
"79",0.228474145932179,0.193021611479558,0.277736931744552,"CDC42EP3",FALSE
"80",-0.00758332313905474,0.00659644185498322,0.865370489553845,"CEP135",FALSE
"81",-0.324362829005959,0.381059453281098,0.110769151195373,"CEP350",FALSE
"82",0.109377043344508,0.571882916336991,0.0501245477571018,"CFAP97",FALSE
"83",-0.0195076187055122,0.195812200384179,0.266853996267907,"CFDP1",FALSE
"84",0.104626547932771,0.326127023691363,0.135601410890087,"CFLAR",FALSE
"85",-0.265846987002862,0.109191574327823,0.413702789981645,"CHD2",FALSE
"86",-0.153148768724481,0.0576288028965228,0.600953756831317,"CHD4",FALSE
"87",-0.074769491502048,0.0632179458180259,0.579608542000759,"CHMP1B",FALSE
"88",0.0334165020767372,0.00351467596556722,0.915952923753092,"CHORDC1",FALSE
"89",0.0353679377846138,0.00391143985303246,0.901550129429747,"CITED2",FALSE
"90",-0.00657486864119317,0.571882916336991,0.0514720012787152,"CLDND1",FALSE
"91",-0.18445202786895,0.0225668232822925,0.739347392511469,"CLEC2B",FALSE
"92",0.606730161008148,0.799653706855908,0.0215732372584233,"CMSS1",FALSE
"93",-0.141983713719341,0.0753514341206669,0.525983522592558,"CMTM8",FALSE
"94",0.0137111774435714,0.00351467596556722,0.919302159476852,"COA6",FALSE
"95",-0.0372445855056764,0.195812200384179,0.252776944688677,"CORO1B",FALSE
