MUTATION.GROUP	Clone	CD4+ T cells	CD8+ T cells	CD14+ Monocytes	NK cells	B cells	CD16+ Monocytes	Dendritic cells	Erythroid-like cells	Platelets
Control	Control	0.3892658852560148	0.2284784925130391	0.15565588020862542	0.13305479221580394	0.06864449554147271	0.00717850933767035	0.002551735741125007	0.006309236722561831	0.008860972463686837
TET2	Mutant	0.05228276877761414	0.04547128129602356	0.8051362297496318	0.05108615611192931	0.019421944035346098	0.004326215022091311	0.011505891016200295	0.002761413843888071	0.008008100147275404
TET2	Wildtype	0.2865349040989193	0.43486515431798267	0.05140687372213027	0.14925518450004868	0.061727193067860966	0.003164248856002337	8.27572777723688e-4	0.00676662447668192	0.00545224418265018
