MUTATION.GROUP	CD4+ T cells	CD8+ T cells	CD14+ Monocytes	NK cells	B cells	CD16+ Monocytes	Dendritic cells	Platelets	Erythroid-like cells
Control	0.3892658852560148	0.2284784925130391	0.15565588020862542	0.13305479221580394	0.06864449554147271	0.00717850933767035	0.002551735741125007	0.008860972463686837	0.006309236722561831
DNMT3A	0.2889582365048802	0.2173826439147467	0.24921983932009828	0.14242082199057168	0.06291082929420357	0.013710908970187903	0.006407277073235509	0.011918199322754133	0.00707124360932209
TET2	0.23290906085436985	0.2546343306491605	0.30925449264410704	0.13472028715139206	0.04281295014995159	0.008312277138876426	0.004959028974897868	0.0061869790067773395	0.00621059343046733
