"","logFC","FDR","pval","gene","label"
"1",0.00131859902927389,0.000797552983302781,0.988136414749516,"ABCG1",FALSE
"2",-0.0559883968869954,0.0186818840127201,0.806944369984854,"AC004687.1",FALSE
"3",-0.182999819013867,0.376809682948534,0.114149087040603,"AC020916.1",FALSE
"4",-0.0109591693573063,0.0046983362809076,0.910307505816952,"AC103591.3",FALSE
"5",0.0475682618071861,0.108154527335704,0.447124982399628,"ACIN1",FALSE
"6",0.129038322093359,0.0186818840127201,0.778280514902285,"ACTG1",FALSE
"7",0.0721230460573488,0.0186818840127201,0.752842713884197,"AFF3",FALSE
"8",-0.0391417351835167,0.105658432287353,0.451657446626098,"AFF4",FALSE
"9",0.532551032477928,1.12933707486802,0.00796135533686406,"AGO2",FALSE
"10",0.426264391005846,1.02858763293595,0.0109740226537887,"AHNAK",FALSE
"11",-0.0813359797548709,0.0910847775718656,0.501444105625624,"AKAP9",FALSE
"12",0.0504858340371467,0.178644018455985,0.323360242372118,"AKIRIN1",FALSE
"13",0.0565041526929253,0.0416687528706815,0.670547318114158,"ALOX5AP",FALSE
"14",-0.104565642492227,0.0587762227748125,0.585786078491222,"AMD1",FALSE
"15",1.4546054769701,7.91776436757567,3.3150031465175e-10,"ANXA1",TRUE
"16",0.342509183235817,0.728884284249454,0.0302610992380852,"ANXA5",FALSE
"17",0.00625205650105243,0.000797552983302781,0.994469091663425,"AP3S1",FALSE
"18",0.070220192779308,0.0046983362809076,0.903146570332686,"APOBEC3G",FALSE
"19",-0.195458628085071,0.27268069368206,0.170366775372471,"ARHGAP24",FALSE
"20",0.21753140841114,0.191156926403913,0.271418298165015,"ARID1B",FALSE
"21",0.105319577001379,0.0186818840127201,0.815787704102294,"ARID5B",FALSE
"22",-0.242061927821018,0.475070086301533,0.0826838586127848,"ARL4A",FALSE
"23",0.631430841974253,2.36123432121867,0.000260514888184919,"ARL4C",TRUE
"24",0.085931213332573,0.0186818840127201,0.774312947672199,"ARL6IP4",FALSE
"25",0.194546328616261,0.178644018455985,0.323942314105574,"ATM",FALSE
"26",-0.185925781638111,0.191156926403913,0.275082082406479,"ATP1B3",FALSE
"27",0.317786484756882,0.658856350177199,0.0377440386221349,"ATP2B1",FALSE
"28",0.0199564781531816,0.0886102798150775,0.51040987602346,"ATP2B1-AS1",FALSE
"29",-0.0074125818579166,0.221367001636204,0.227683843300889,"ATP5F1A",FALSE
"30",-0.0446672520396877,0.0193483942057272,0.736566629901793,"ATRX",FALSE
"31",-0.0690370623219475,0.0587762227748125,0.599627669878118,"BACH2",FALSE
"32",-0.260677718855101,0.651620675112192,0.0389343557048989,"BANK1",FALSE
"33",-0.0835874975552461,0.0186818840127201,0.815315620264445,"BASP1",FALSE
"34",0.141151418581021,0.179328029223703,0.308581016053404,"BAZ1A",FALSE
"35",0.0811187722235626,0.0186818840127201,0.750414261715902,"BBX",FALSE
"36",-0.157210857590285,0.0499195324085876,0.626881138844062,"BCL2",FALSE
"37",0.16993636053981,0.101724210175049,0.467908938170921,"BCL2A1",FALSE
"38",0.0130492216730623,0.0186818840127201,0.795700085711449,"BCL7A",FALSE
"39",-0.208175843937986,0.328751803456269,0.145052597111572,"BCLAF1",FALSE
"40",0.128099775056571,0.100420738716496,0.482863874681535,"BHLHE40",FALSE
"41",0.199642005711639,0.395509655279245,0.108335234465352,"BLNK",FALSE
"42",-0.17712727252037,0.242745930488516,0.205124036884882,"BRD4",FALSE
"43",-0.178256584571145,0.0631719721016942,0.575698259740779,"BTG2",FALSE
"44",-0.334676946003631,0.341314069687295,0.132961963365024,"C12orf57",FALSE
"45",0.0317539536866597,0.163156157836585,0.359682049557097,"C12orf75",FALSE
"46",-0.052306486861306,0.0277481860133313,0.70416419250348,"C1orf131",FALSE
"47",-0.196297386405219,1.43009081434661,0.00314951535532912,"C4orf48",FALSE
"48",-0.0323846747606472,0.048795534971125,0.644106875679225,"CCAR1",FALSE
"49",-0.0740659396240583,0.0587762227748125,0.593054363514691,"CCDC167",FALSE
"50",-0.132091914435831,0.193255314759289,0.257291944182943,"CCDC186",FALSE
"51",-0.131889679111713,0.178644018455985,0.322655145148973,"CCDC50",FALSE
"52",1.33964898139899,11.8914063736741,1.28088236099947e-14,"CCL3",TRUE
"53",0.906115599519099,9.87258125660651,2.34084366933982e-12,"CCL3L1",TRUE
"54",1.43040541789516,10.2407322970599,8.59556800607633e-13,"CCL4",TRUE
"55",0.936517521673389,8.12198870309895,1.87181026992613e-10,"CCL4L2",TRUE
"56",0.777349072377195,2.94968493177356,5.88017146650812e-05,"CCL5",TRUE
"57",0.112558898930829,0.0733246896933286,0.543438801323686,"CCNL1",FALSE
"58",0.268628981732604,0.395509655279245,0.107711758707058,"CCSER2",FALSE
"59",-0.0105349889569073,0.0193483942057272,0.733838921414279,"CD48",FALSE
"60",-0.730349913752166,1.55613796839203,0.00200962792501037,"CD52",TRUE
"61",0.136143446314479,0.347610917438446,0.129927983791987,"CD58",FALSE
"62",-0.327339945494629,0.250160420616506,0.199059794389086,"CD69",FALSE
"63",-0.325445709386714,0.909035729624623,0.0178339642335329,"CD79B",FALSE
"64",-0.73664615257346,1.45134808499439,0.00282265318738515,"CD83",TRUE
"65",0.21198839795841,0.179328029223703,0.308158564498537,"CDC37",FALSE
"66",0.0741796717125118,0.193255314759289,0.255247618109794,"CDK13",FALSE
"67",0.0758887512483318,0.0186818840127201,0.78272795237713,"CDKN1A",FALSE
"68",0.0764671884285453,0.22842702926679,0.218442444326101,"CELF2",FALSE
"69",-0.268407703152259,0.569626534912888,0.0523990840127182,"CHCHD10",FALSE
"70",0.032287164522021,0.0557139812506578,0.614185667281396,"CHD4",FALSE
"71",0.0839546861616534,0.0193483942057272,0.72809502445339,"CHD8",FALSE
"72",-0.155944459939174,0.191156926403913,0.28462534414959,"CHMP1B",FALSE
"73",-0.325738542414931,0.909035729624623,0.0169313820068183,"CHPT1",FALSE
"74",-0.125031183672178,0.0819811172394931,0.522337989505972,"CKLF",FALSE
"75",0.492754881582332,0.827051778111363,0.0230247826258197,"CLEC2B",FALSE
"76",0.134287736932052,0.0186818840127201,0.745261579684666,"CLEC2D",FALSE
"77",-0.317519437889631,0.191156926403913,0.282390727711173,"CMSS1",FALSE
"78",-0.161960109942692,0.250160420616506,0.197900982814571,"COA4",FALSE
"79",0.0950845450955841,0.0886102798150775,0.510201675733143,"COMMD8",FALSE
"80",0.434882725096955,1.37826742376284,0.00390276624731296,"COPA",TRUE
"81",-0.132941438494096,0.0636637187195934,0.572893038937445,"COTL1",FALSE
"82",-0.421954662309984,1.45134808499439,0.00282127976538312,"COX16",TRUE
"83",-0.234944810236063,0.443611152771902,0.0906913461759721,"COX19",FALSE
"84",-0.0134767304642774,0.130830186232899,0.40763751228494,"CREM",FALSE
"85",0.13038415288017,0.017541949946881,0.8248701277303,"CRIP1",FALSE
"86",-0.0202636052977758,0.0186818840127201,0.80977062760054,"CRIP2",FALSE
"87",0.322657233472263,0.909035729624623,0.0166378077656131,"CST7",FALSE
"88",-0.177878650576186,0.120925069343823,0.419067066981207,"CTSH",FALSE
"89",-0.227855997963483,1.28287438908132,0.00520045364552881,"CTSS",FALSE
"90",0.0925290699263439,0.178644018455985,0.315627687056229,"CUL3",FALSE
"91",-0.0743786558653178,0.141804660492255,0.392199883648343,"CWC22",FALSE
"92",-0.139577014644437,0.169272683613077,0.348057362323366,"CWC25",FALSE
"93",0.46798402408208,3.08903877932626,4.06300020012259e-05,"CXCL2",TRUE
"94",0.5971338736039,4.10161956790113,3.1575922113129e-06,"CXCL3",TRUE
"95",1.8782087682136,22.6270550313178,5.88573353067879e-26,"CXCL8",TRUE
"96",-0.0881219611576033,0.0709881726935839,0.556958970497747,"CYBB",FALSE
"97",0.0089137550571857,0.000797552983302781,0.99587687990265,"CYP20A1",FALSE
"98",-0.120111065357394,0.396162122920624,0.106169401639908,"CYSTM1",FALSE
"99",0.490898658007505,1.72414318518117,0.00127079707447085,"CYTOR",TRUE
"100",-0.14876284556265,0.191156926403913,0.275338218156892,"DBF4",FALSE
"101",-0.204061414122323,0.191156926403913,0.268533889849673,"DDAH2",FALSE
"102",0.0566380014687252,0.0161031798030599,0.838644444778074,"DDIT4",FALSE
"103",-0.437387276320268,0.481375964243184,0.0806688264218014,"DDX21",FALSE
"104",0.105451207397296,0.0587762227748125,0.593693440793174,"DDX3X",FALSE
"105",-0.103728808468879,0.171436700918372,0.342806536185155,"DDX3Y",FALSE
"106",-0.145193231207245,0.0587762227748125,0.597231524944524,"DDX5",FALSE
"107",-0.212207533242484,0.242745930488516,0.205339352862343,"DNAJA1",FALSE
"108",0.120884072801069,0.163156157836585,0.358043191182806,"DNAJB14",FALSE
"109",0.0185840328474668,0.0046983362809076,0.908069213666336,"DNAJC10",FALSE
"110",0.0911491326131566,0.0193483942057272,0.734843235121108,"DNAJC15",FALSE
"111",-0.187724026570643,0.373306928769079,0.118240626256945,"DNAJC2",FALSE
"112",7.78426084742934e-05,0.000797552983302781,0.986637713667923,"DNM1L",FALSE
"113",-0.0347029588808135,0.0186818840127201,0.816841293445876,"DSTN",FALSE
"114",-0.0549417796856439,0.0186818840127201,0.785190876479179,"DTX3L",FALSE
"115",0.0204787196742655,0.00553000892035988,0.895658992860422,"DUSP1",FALSE
"116",-0.0615412566241129,0.101724210175049,0.467123688847389,"DUSP2",FALSE
"117",0.361064830905165,0.444054345365253,0.0897018256361819,"EFHD2",FALSE
"118",-0.115956259013148,0.101724210175049,0.46000833344801,"EIF4E",FALSE
"119",0.0789690892014236,0.0186818840127201,0.796502803851194,"ESF1",FALSE
"120",-0.129447712839247,0.112907988213704,0.432643474080536,"FABP5",FALSE
"121",-0.0306664985999382,0.0674425982791642,0.563988964737062,"FAM133B",FALSE
"122",-0.129196357376704,0.191156926403913,0.265693549107194,"FAM214A",FALSE
"123",-0.146917863774051,0.179302453651256,0.310249451945771,"FAM76B",FALSE
"124",-0.116021062911701,0.0886102798150775,0.509056087275464,"FCER2",FALSE
"125",-0.124274391000476,0.217004718197214,0.23452146980442,"FOS",FALSE
"126",-0.132370821055509,0.130830186232899,0.404798249968875,"FOSB",FALSE
"127",0.191879117249834,0.145575584445183,0.385242146570848,"FTH1",FALSE
"128",0.203160549143697,0.265128917622515,0.180048877007999,"FYN",FALSE
"129",0.0872761855504307,0.191156926403913,0.288660217975307,"G3BP1",FALSE
"130",0.110313889774203,0.0391758110955696,0.676762468116455,"GABARAPL1",FALSE
"131",0.0609288904191646,0.108154527335704,0.445692356645969,"GADD45B",FALSE
"132",0.0240629832256334,0.000797552983302781,0.964578586772222,"GALNT2",FALSE
"133",0.59097993788648,0.65060406898826,0.0395831094417905,"GAPDH",FALSE
"134",-0.0978688306965159,0.171436700918372,0.335477967747064,"GBP4",FALSE
"135",0.0134752582780248,0.0186818840127201,0.777215182239359,"GGA2",FALSE
"136",0.043122823465015,0.355052143682104,0.126619712781196,"GNA13",FALSE
"137",-0.0672957629967594,0.0148666289495163,0.849931515499126,"GNAI2",FALSE
"138",-0.015407399665751,0.0210333533702583,0.719887947379341,"GNG2",FALSE
"139",-0.313457308020441,0.880105914596604,0.0197197299466473,"GNG7",FALSE
"140",-0.0978036430132835,0.0492363916905831,0.638449100640788,"GNL3",FALSE
"141",1.22912106931324,4.31141902811948,1.8261138834807e-06,"GNLY",TRUE
"142",0.140326754780782,0.909035729624623,0.0174077437633486,"GOLGB1",FALSE
