"","logFC","FDR","pval","gene","label"
"1",-0.125056436171153,0.00355714402672395,0.404598353296495,"ABCG1",FALSE
"2",0.0672439890024698,0.00355714402672395,0.705680479170378,"ABLIM1",FALSE
"3",-0.21930070499371,0.091132010673929,0.156632225207694,"AC008875.3",FALSE
"4",0.486362413658164,0.583694865701357,0.00415562080452627,"AC020916.1",FALSE
"5",0.0264767280512024,0.00301705348837478,0.975433018991749,"ACAP2",FALSE
"6",0.256342230464902,0.00355714402672395,0.421747068767114,"ACTB",FALSE
"7",0.287635996517088,0.00355714402672395,0.426948723489089,"ACTG1",FALSE
"8",-0.306668338378975,0.332218503094762,0.0229801621906123,"ADGRE5",FALSE
"9",0.0599359828653635,0.00355714402672395,0.470491487828022,"ADGRG1",FALSE
"10",0.47194606155375,0.170060167594536,0.114532019507219,"AHNAK",FALSE
"11",-0.145513992845756,0.0344745706286921,0.298897039943269,"AHR",FALSE
"12",-0.0252315087518301,0.173924097664358,0.10741919039446,"AKAP9",FALSE
"13",-0.136614163641508,0.00355714402672395,0.464824562921883,"ALOX5AP",FALSE
"14",-0.178816124239709,0.00355714402672395,0.548354830303473,"AMD1",FALSE
"15",0.0893120765275049,0.00355714402672395,0.819544602521218,"ANKHD1",FALSE
"16",0.400080106275868,0.196449527723753,0.0926649693578345,"ANKRD11",FALSE
"17",0.00681676028983191,0.00355714402672395,0.871376396815237,"ANKRD12",FALSE
"18",-0.297854609897842,0.0158080237074564,0.318100909150561,"ANXA1",FALSE
"19",0.0892474736560103,0.00355714402672395,0.681923131719695,"ANXA2",FALSE
"20",0.0697542141028693,0.00355714402672395,0.666400674251817,"ANXA5",FALSE
"21",-0.065635306080687,0.00355714402672395,0.799558001265128,"API5",FALSE
"22",0.329271525248571,0.247489731611588,0.0592035115432978,"APOL6",FALSE
"23",0.0269617308458823,0.00355714402672395,0.879991382679785,"ARID1A",FALSE
"24",-0.0473633785547421,0.00355714402672395,0.901830770308701,"ARID4A",FALSE
"25",0.0450719760680796,0.00355714402672395,0.574951291977892,"ARID4B",FALSE
"26",0.00101074969873283,0.00355714402672395,0.586689795379527,"ARID5B",FALSE
"27",0.00683211729852135,0.00355714402672395,0.866049522615958,"ARIH1",FALSE
"28",-0.108298463478648,0.00355714402672395,0.415305581511685,"ARL14EP",FALSE
"29",0.0889345482311701,0.00355714402672395,0.808862402276593,"ARL4C",FALSE
"30",-0.141906472592155,0.196449527723753,0.0922412215082305,"ARRDC3",FALSE
"31",0.162930679965168,0.00355714402672395,0.425737657970577,"ATM",FALSE
"32",-0.138247568921442,0.00355714402672395,0.699849421365555,"ATP2B1",FALSE
"33",-0.119883922903472,0.00355714402672395,0.678986209337558,"AUTS2",FALSE
"34",0.008232478050964,0.00355714402672395,0.636475067824665,"BATF",FALSE
"35",0.165734805597532,0.00355714402672395,0.638407114756494,"BAZ1A",FALSE
"36",-0.182723563246178,0.0344745706286921,0.29557429059662,"BBX",FALSE
"37",0.215958182509718,0.00355714402672395,0.387891164001694,"BCAS2",FALSE
"38",0.356662995545146,0.291421462900155,0.0480236911653525,"BCL2A1",FALSE
"39",0.102086136527867,0.00355714402672395,0.650390564962096,"BCLAF1",FALSE
"40",-0.074091417429589,0.00355714402672395,0.922076661353444,"BIRC3",FALSE
"41",0.00387677018004004,1.9234345795754,4.98035043900903e-05,"BLOC1S5",FALSE
"42",0.0740543418293209,0.00355714402672395,0.926370499558473,"BOD1L1",FALSE
