"","logFC","FDR","pval","gene","label"
"1",0.259448271043887,1.26440723309475,0.00749443098541461,"ABLIM1",FALSE
"2",-0.0620672122620411,0.152074884086809,0.558971270376689,"AC007952.4",FALSE
"3",-0.182897839588436,0.98348876496726,0.0222060671434335,"AC008875.3",FALSE
"4",-0.0524697614930096,0.0516381232207911,0.815710140665784,"AC020916.1",FALSE
"5",-0.0405704426087316,0.5824814394329,0.0936732743829409,"AC026979.2",FALSE
"6",0.0555860977700142,0.0750912357854213,0.743309371368166,"AC044849.1",FALSE
"7",-0.0591764502262263,0.112144677489048,0.653165480866718,"AC103591.3",FALSE
"8",-0.113511431794441,0.47953977907728,0.138576884387678,"AC245297.3",FALSE
"9",-0.00030646710518667,1.40025889546223,0.00321320123892904,"ACTB",FALSE
"10",-0.0744029967073359,0.215402909021413,0.416588697507274,"ACTG1",FALSE
"11",-0.0619054411039875,0.431867671413331,0.168714131820456,"ADD3",FALSE
"12",-0.233302886334112,2.07807583046542,0.000476270097625423,"ADGRG1",FALSE
"13",-0.0402806018304595,0.0246232600866818,0.89999276192806,"AGO2",FALSE
"14",0.0404523809903776,0.0104834096643832,0.941370377542869,"AHNAK",FALSE
"15",-0.0211484105809937,1.04109500504603,0.0179349839141517,"AKAP9",FALSE
"16",-0.00618142141471967,0.223541043068888,0.393239042676321,"AKR1C3",FALSE
"17",0.00274292779166047,0.145979791294273,0.58384364239788,"AL021155.5",FALSE
"18",0.0347681717473648,0.18372178014923,0.493733541394537,"AL118516.1",FALSE
"19",0.0395276499740313,0.210072758547157,0.440132175578777,"AL627171.2",FALSE
"20",-0.110438226740191,0.17699329243097,0.5088391089429,"ALOX5AP",FALSE
"21",-0.107768800180731,0.214613058429882,0.421693516400668,"AMD1",FALSE
"22",-0.0236883945992516,0.0279823158558471,0.884546312512422,"ANKLE2",FALSE
"23",-0.0285048486201578,1.09758158106636,0.0151137434341967,"ANKRD11",FALSE
"24",-0.166047544064006,1.11222618751183,0.0141248043802548,"ANKRD28",FALSE
"25",0.00453643966491413,0.00404319167254026,0.981320265048107,"ANXA1",FALSE
"26",0.383574765713215,1.26440723309475,0.00739360996754863,"APOBEC3G",FALSE
"27",-0.0107253215274213,0.0723188977667486,0.752630736469547,"APPL1",FALSE
"28",-0.142222568960565,1.26440723309475,0.00713319270867753,"ARHGAP30",FALSE
"29",-0.0259765278965041,0.0412397348230019,0.851087851036187,"ARID5B",FALSE
"30",-0.0213461550183262,0.2660178927518,0.327121649024521,"ARL4A",FALSE
"31",-0.154328045955891,1.26440723309475,0.00706888296948292,"ARL4C",FALSE
"32",0.0432376328179531,0.703278139220278,0.0592717851104325,"ARRDC3",FALSE
"33",-0.154180007532547,1.25312902778552,0.00795211744542784,"ATF7IP",FALSE
"34",-0.0127379403855138,0.00486623145145086,0.971581880288851,"ATP2B1",FALSE
"35",-0.156196772491089,0.437680020084375,0.164737126003899,"ATRX",FALSE
"36",0.0121576839349385,0.364159105932124,0.226834311673302,"ATXN7",FALSE
"37",-0.00179983915287435,0.210072758547157,0.442298441117683,"AUTS2",FALSE
"38",0.109972551421012,0.180624989903352,0.50146761644132,"BCL2A1",FALSE
"39",-0.121550561830864,0.410462242377434,0.181853593767859,"BCLAF1",FALSE
"40",-0.0496075783589106,0.211230476591568,0.429421950653395,"BHLHE40",FALSE
"41",-0.107700023876962,0.222876789180529,0.395262770954899,"BIN2",FALSE
"42",0.0830866419211235,0.445557587127625,0.157306817312163,"BIRC3",FALSE
"43",-0.0782103639862969,0.2660178927518,0.336554658608499,"BOD1L1",FALSE
"44",-0.185001436479896,0.944931024119856,0.0264786018751062,"BTG2",FALSE
"45",-0.0126408927380863,0.0723188977667486,0.75053335717345,"BTG3",FALSE
"46",0.255046131084241,0.984315280630897,0.0219175815017854,"C12orf57",FALSE
