p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
1.0572940887316094e-296,2.931264476426442,0.796,0.151,3.1718822661948285e-293,20,CLEC10A
8.125723847729283e-178,3.0775184800492834,0.688,0.172,2.437717154318785e-174,20,FCER1A
0,4.877845305623165,0.981,0.078,0,21,PPBP
0,4.736507002552124,0.983,0.058,0,21,GP1BB
0,4.71379669030156,0.964,0.058,0,21,PF4
0,4.523458377960789,0.94,0.075,0,21,GNG11
0,4.495655845653904,0.959,0.107,0,21,NRGN
0,4.175832240795598,0.915,0.082,0,21,CAVIN2
0,4.1431815049572185,0.89,0.112,0,21,CLU
0,4.052307300419527,0.893,0.084,0,21,TUBB1
0,3.8925673515664245,0.857,0.075,0,21,GP9
0,3.8527109227133005,0.891,0.102,0,21,RGS18
1.4364915801514703e-256,3.0900695694708844,0.975,0.315,4.3094747404544106e-253,22,NKG7
7.739481151060865e-228,2.915100227361032,0.979,0.321,2.3218443453182595e-224,22,CCL5
1.521659672704529e-225,2.186527155454563,0.926,0.309,4.564979018113587e-222,22,CST7
5.130291391631382e-210,2.5075615854416133,0.869,0.227,1.5390874174894147e-206,22,FGFBP2
2.553176394229887e-204,3.909121460461008,0.899,0.243,7.659529182689661e-201,22,GNLY
6.606111266814939e-188,2.104161944927814,0.793,0.245,1.9818333800444817e-184,22,GZMB
2.717298713711513e-187,2.197986287063488,0.843,0.245,8.151896141134539e-184,22,GZMH
1.7437180163922127e-182,2.4342852856177895,0.878,0.257,5.2311540491766384e-179,22,GZMA
4.0754794395796403e-17,2.078202274150539,0.38,0.218,1.222643831873892e-13,22,HBA1
6.226566564113193e-7,2.098698267833388,0.496,0.159,0.0018679699692339578,22,IFNG
1.1173310631011807e-286,2.822078827046374,0.989,0.298,3.351993189303542e-283,23,CD74
8.191038815076494e-263,3.57762501358778,0.852,0.103,2.457311644522948e-259,23,IGKC
1.093399342122996e-220,3.989248454976693,0.763,0.103,3.280198026368988e-217,23,JCHAIN
1.0805211537201736e-216,2.9180564048202906,0.763,0.133,3.241563461160521e-213,23,TCL1A
3.2697279707721045e-178,2.726559160947885,0.72,0.155,9.809183912316313e-175,23,CCDC50
3.531818445878452e-168,3.1238929225572067,0.77,0.121,1.0595455337635356e-164,23,TCF4
3.391921600073038e-154,2.867614486627134,0.64,0.246,1.0175764800219115e-150,23,GZMB
2.8313421680036903e-140,2.687581217838875,0.562,0.11,8.494026504011071e-137,23,PTGDS
1.1072707557510015e-139,3.0306090993815076,0.675,0.2,3.3218122672530045e-136,23,ITM2C
7.027723430261245e-63,3.4562875349462923,0.631,0.184,2.1083170290783735e-59,23,SERPINF1
7.010593455639428e-152,1.4798962079870832,0.976,0.485,2.1031780366918284e-148,24,RPS29
2.3693128294394644e-146,2.080365466057526,0.93,0.344,7.107938488318394e-143,24,IL7R
9.645327220141759e-138,2.1204748749090396,0.922,0.347,2.8935981660425275e-134,24,LTB
1.3176780932863462e-133,1.6901063776908558,0.895,0.459,3.953034279859038e-130,24,RPS26
1.4992154189247778e-127,1.568223106717093,0.951,0.497,4.4976462567743336e-124,24,RPS27
8.72590122412857e-95,1.39545845732643,0.932,0.46,2.617770367238571e-91,24,RPS12
7.404954524266988e-92,1.4629289002112025,0.722,0.336,2.2214863572800966e-88,24,BCL11B
1.449916239321242e-88,1.767843153312899,0.824,0.394,4.3497487179637264e-85,24,TXNIP
7.689162925684389e-16,1.5713136017638283,0.395,0.17,2.3067488777053166e-12,24,TSHZ2
1.93384476628572e-11,1.4993892842217542,0.43,0.186,5.80153429885716e-8,24,MAL
1.1595480648303214e-116,2.8624912042917576,0.9,0.331,3.478644194490964e-113,25,NEAT1
2.729281482642778e-94,2.3997166294340877,0.841,0.323,8.187844447928334e-91,25,GADD45B
4.386564233036628e-88,2.661638336218635,0.827,0.263,1.3159692699109884e-84,25,AC020916.1
1.5959854412802136e-87,2.24530002769478,0.799,0.208,4.78795632384064e-84,25,Z99127.4
7.972478534279143e-87,2.3487055513048056,0.803,0.317,2.391743560283743e-83,25,JUN
3.4427157071718846e-86,2.353501655106214,0.837,0.33,1.0328147121515653e-82,25,PPP1R15A
8.801576810841724e-84,2.204834327567706,0.792,0.329,2.6404730432525174e-80,25,WDR74
1.5884484375757785e-76,2.327825492217374,0.779,0.351,4.7653453127273355e-73,25,IER2
5.530890170226198e-69,2.0760034766443605,0.713,0.228,1.6592670510678594e-65,25,AL360012.1
6.670680050106693e-67,2.1637605363427848,0.706,0.177,2.001204015032008e-63,25,SOX4
5.4293683748054256e-36,4.259293402489969,0.949,0.143,1.6288105124416278e-32,26,SNCA
8.603594464585897e-32,4.657690949195939,0.932,0.205,2.581078339375769e-28,26,HBD
1.9072705098808936e-31,4.779935179829708,0.915,0.218,5.721811529642681e-28,26,HBA1
1.3100518747008371e-30,4.7700569192007025,0.915,0.251,3.9301556241025115e-27,26,HBA2
7.404070392383438e-28,2.7867979116965373,0.881,0.16,2.2212211177150314e-24,26,SLC25A37
1.0406186962550347e-26,4.770180654143863,0.898,0.227,3.121856088765104e-23,26,HBB
2.881480947551448e-20,2.585024701273024,0.78,0.202,8.644442842654343e-17,26,BPGM
9.803133778954049e-20,1.6846141090561573,0.814,0.254,2.940940133686215e-16,26,PRDX2
2.1942915852677507e-9,2.1571026773219653,0.678,0.209,6.5828747558032525e-6,26,BLVRB
2.7994105618794754e-8,1.7195888734426308,0.661,0.277,8.398231685638427e-5,26,EIF1AY
