Gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	significant	gene_class	-log10_p_val
AC084871.1	0.00634048079427664	0.02464063170428459	0.008	0.003	1	FALSE	Other	-0
LINC01954	0.00635729752416033	0.01910978744520389	0.008	0.003	1	FALSE	Other	-0
ME2	0.00636068237960853	-0.01291890153705632	0.16	0.185	1	FALSE	Other	-0
RRP8	0.00637053682709449	-0.01658834505399059	0.039	0.051	1	FALSE	Other	-0
TTN	0.00637079518789253	0.03620286953347289	0.01	0.005	1	FALSE	Other	-0
SIK3	0.00638141959380619	-0.00776906580468517	0.154	0.18	1	FALSE	Other	-0
TBL2	0.00638855766841395	-0.01167160399246593	0.024	0.034	1	FALSE	Other	-0
DCAF17	0.00641013383106569	-0.01821317738454854	0.013	0.02	1	FALSE	Other	-0
PNN	0.00641019353795018	0.15996516611956735	0.322	0.31	1	FALSE	Other	-0
KHDC4	0.00642195818161193	0.00381946435251212	0.044	0.057	1	FALSE	Other	-0
SPSB2	0.00642782097943147	-0.01072268194096703	0.011	0.018	1	FALSE	Other	-0
UIMC1	0.00642856672565004	-0.05552924377036539	0.123	0.144	1	FALSE	Other	-0
AC004817.3	0.00645531789884543	0.04194488924263648	0.016	0.009	1	FALSE	Other	-0
DNAJC4	0.00646771358815536	0.1217057418380294	0.165	0.148	1	FALSE	Other	-0
KAT7	0.00647191360396244	-0.03504011166892434	0.087	0.104	1	FALSE	Other	-0
EPN2	0.00648097340482861	0.0185852321057065	0.005	0.001	1	FALSE	Other	-0
SEPSECS-AS1	0.00648406807847666	0.03930981511037656	0.017	0.01	1	FALSE	Other	-0
AP003717.4	0.00650184344092572	0.04736744724278755	0.017	0.01	1	FALSE	Other	-0
PAK2	0.00651067558614782	-0.00234593229133994	0.536	0.588	1	FALSE	Other	-0
AC093525.7	0.00651445957628838	-0.00441554652989692	0.002	0.006	1	FALSE	Other	-0
GOLIM4	0.00652029792011461	-0.02393264657667809	0.058	0.072	1	FALSE	Other	-0
ZMYM2	0.00653015883529187	-0.01954225137460996	0.186	0.213	1	FALSE	Other	-0
DCTN6	0.00654758454799572	-0.01785514276012989	0.101	0.12	1	FALSE	Other	-0
LRBA	0.00655617071500978	0.0672454925911199	0.022	0.014	1	FALSE	Other	-0
ALDH7A1	0.00659252949379062	-0.00957647657446266	0.001	0.004	1	FALSE	Other	-0
MBP	0.00660590502055147	-0.01540255919653788	0.4	0.439	1	FALSE	Other	-0
PDE2A	0.00660811406911003	-0.00628691617632428	0.001	0.004	1	FALSE	Other	-0
AC026401.2	0.00662025829996296	-0.00800644302526583	0.001	0.004	1	FALSE	Other	-0
SNAPC3	0.00662309918818374	-0.00292208558208252	0.022	0.031	1	FALSE	Other	-0
EFHD2	0.00662386268972319	-0.04826297741607544	0.764	0.821	1	FALSE	Other	-0
NR3C1	0.00664423166646191	-0.04017530427494642	0.383	0.42	1	FALSE	Other	-0
CASTOR3	0.00664570803814281	-0.0146317317179294	0.005	0.01	1	FALSE	Other	-0
NME8	0.00664922082541241	0.03080219919969208	0.014	0.008	1	FALSE	Other	-0
PMPCA	0.0066734373661681	-0.02579617873044731	0.054	0.067	1	FALSE	Other	-0
UBFD1	0.00667412491426248	-0.00788280240555638	0.017	0.025	1	FALSE	Other	-0
ZRANB3	0.00667427835921787	0.02279672237213486	0.005	0.002	1	FALSE	Other	-0
PLCG2	0.00667499333180228	-0.03036242873452266	0.056	0.07	1	FALSE	Other	-0
LINC01002	0.00668141780756007	0.0430673152407121	0.018	0.011	1	FALSE	Other	-0
ADORA2B	0.00668791057678111	-0.02303884951422914	0.012	0.019	1	FALSE	Other	-0
HMOX2	0.00669334560369375	0.07026426613825576	0.051	0.039	1	FALSE	Other	-0
