gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
AL627309.5	1.492503555381646	3.0639235265586033	4.451411767285643	0.6883037756866301	0.4912615045494472	0.9989220184727656
LINC01128	1.2551204382827157	-3.0700230648114695	5.5572180209934325	-0.5524388377806813	0.5806477277645465	0.9989220184727656
NOC2L	3.322191122782898	0.9192478282847576	2.566963322177443	0.3581071144814799	0.720263155070014	0.9989220184727656
ISG15	9.105961136004264	-0.46189647463231137	1.373500217761139	-0.3362915190397431	0.7366510447253819	0.9989220184727656
C1orf159	0.9604131272651052	0.5345392622261179	5.566304149931341	0.09603127098843696	0.9234957366701458	0.9989220184727656
TNFRSF18	9.76089209164185	0.980557756017425	1.2918706101464192	0.7590216452917755	0.44783960870274286	0.9989220184727656
TNFRSF4	4.057850174788091	0.41706599619073104	2.2603757501661046	0.1845117990493761	0.8536119717640789	0.9989220184727656
SDF4	7.7892911981664845	-0.13901291286158152	1.4829645605906012	-0.0937398752173947	0.9253157938779611	0.9989220184727656
B3GALT6	2.8261336389543024	-0.3199741354004614	2.835341427963885	-0.11285206509688012	0.9101478399757824	0.9989220184727656
UBE2J2	8.876875956848494	0.2024615612503373	1.3555249923149113	0.14936025702084735	0.881269370207944	0.9989220184727656
INTS11	3.15898654707805	0.31171543555407943	2.9215488482858674	0.1066952673876972	0.9150307372529758	0.9989220184727656
DVL1	1.1470216054188809	-2.9474024883922527	5.253753042583847	-0.5610089519820085	0.5747914345497139	0.9989220184727656
AURKAIP1	24.502266158079316	-0.4753672953050685	0.7776639623572611	-0.6112759730618498	0.5410168946350259	0.9989220184727656
CCNL2	5.963934734661091	-1.6650265528531158	1.9318162780056665	-0.8618969473494789	0.3887442289965642	0.9989220184727656
ATAD3A	0.8332414958482018	-2.489495492022542	6.00966590916219	-0.41424856716695646	0.6786920766922078	0.9989220184727656
SSU72	20.774791968748225	0.58849536058419	0.8261743062975877	0.7123138012140191	0.4762704796598653	0.9989220184727656
AL691432.2	0.9053073844240918	-2.6011231924027487	5.795586078252438	-0.4488110705771924	0.6535679519722807	0.9989220184727656
MIB2	2.6034922165125822	0.7960092306416571	3.230044566302184	0.24643908599469988	0.8053423527478529	0.9989220184727656
MMP23B	1.3653319239647428	1.531075822676821	4.63204000784726	0.33054028464412777	0.740991758721588	0.9989220184727656
CDK11B	6.788514022717576	0.8693047540230426	1.5798728677717957	0.5502371562650376	0.5821567216187311	0.9989220184727656
SLC35E2B	5.109401989182155	0.8612797256004837	1.900083564624209	0.45328518262870415	0.6503434010730078	0.9989220184727656
CDK11A	8.325712730178884	-0.6340113399304607	1.4645647751214936	-0.4329008526631169	0.6650868005391335	0.9989220184727656
SLC35E2A	0.9053073844240918	-2.6011231924027487	5.795586078252438	-0.4488110705771924	0.6535679519722807	0.9989220184727656
NADK	3.513130704832532	-4.560515002414728	3.1381692925439295	-1.4532405926124483	0.14615696526832322	0.9989220184727656
GNB1	20.13063587372055	-0.652982487273432	0.8727920378446332	-0.748153579500997	0.45436752712605777	0.9989220184727656
GABRD	0.8332414958482018	-2.489495492022542	6.00966590916219	-0.41424856716695646	0.6786920766922078	0.9989220184727656
FAAP20	8.794035207662695	1.3131006017929456	1.3846442623412445	0.9483306561157244	0.3429611490317754	0.9989220184727656
SKI	7.221167825762	-0.789994101145537	1.588011429789416	-0.4974738130507645	0.6188549650725603	0.9989220184727656
RER1	15.616727993439108	0.18661959889390253	0.9751405635511194	0.1913771264055507	0.8482301393412892	0.9989220184727656
PANK4	1.2551204382827157	-3.0700230648114695	5.5572180209934325	-0.5524388377806813	0.5806477277645465	0.9989220184727656
AL139246.5	5.185798981653902	-0.7022990248225468	2.007460246178023	-0.34984454918080926	0.7264553636606763	0.9989220184727656
TNFRSF14-AS1	1.2381602925478392	-0.04912939453391631	4.966066267209004	-0.00989302032844755	0.992106640576716	0.9989220184727656
TNFRSF14	16.28676491358246	-0.07050893822745712	0.9739996986883592	-0.07239112940425779	0.9422906439844144	0.9989220184727656
PRXL2B	0.8332414958482018	-2.489495492022542	6.00966590916219	-0.41424856716695646	0.6786920766922078	0.9989220184727656
TPRG1L	6.739852036590613	0.16686971106735063	1.6333534329911066	0.10216387200519585	0.9186266036299648	0.9989220184727656
WRAP73	1.4608017149895596	-3.294518163121363	4.6678041112090805	-0.7057961483880691	0.4803149176590704	0.9989220184727656
SMIM1	5.257864870229793	-0.726189012148736	2.1092358172433787	-0.3442901008090283	0.7306281281691047	0.9989220184727656
LRRC47	3.9180495015321695	-2.1180519813198586	2.5648935493588714	-0.8257855308846223	0.408925763328262	0.9989220184727656
CEP104	2.402142043701596	-4.009176765804612	3.6938210755166896	-1.0853738402160722	0.2777561137876365	0.9989220184727656
C1orf174	3.99655914682211	-4.749746343862927	3.023661443533219	-1.5708591826711713	0.11621536145445883	0.9989220184727656
ACOT7	8.694598582590576	-0.363772822469925	1.4018033281388131	-0.2595034661195372	0.7952468080247221	0.9989220184727656
TNFRSF25	10.467326225921706	-6.137159477212172	2.340247957543054	-2.6224398390909673	0.00873026797454583	0.9989220184727656
NOL9	1.5689005478533942	-3.391827551601694	4.992832625887906	-0.6793393261402397	0.49692288417633496	0.9989220184727656
ZBTB48	3.59782563524744	-0.7758469929402209	2.593777300548361	-0.29911858384148704	0.7648495671986952	0.9989220184727656
KLHL21	1.110988661130936	-2.9033605964901006	5.86694473767668	-0.4948675548015876	0.6206936145673785	0.9989220184727656
PHF13	2.4763205850956784	-0.04978374024538415	3.3787579372281833	-0.01473433171901773	0.9882441295768056	0.9989220184727656
