gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
LINC01409	1.388047951737555	0.9039632139922557	3.831015903849534	0.23595913895421913	0.813464377338631	0.9983011407829973
NOC2L	1.2907635380944111	-1.8734197611485055	4.137443837093123	-0.4527964209091788	0.6506953410865461	0.9983011407829973
HES4	2.142734658881863	5.348482064760045	5.987655339371534	0.8932514918805302	0.3717225086979159	0.9983011407829973
ISG15	13.24267056729222	0.04127145968531165	1.1578298902053472	0.035645529653749	0.9715650039573714	0.9983011407829973
TNFRSF18	5.669518377832866	-1.3460552230948164	2.25617058363025	-0.5966105722950128	0.5507674110228997	0.9983011407829973
SDF4	5.357622979663932	-0.6015443446882958	2.350882188609606	-0.25588025959057953	0.7980432978694408	0.9983011407829973
B3GALT6	4.490283630580601	1.7654992218723418	2.6334771506629147	0.6704061288049983	0.502598928751933	0.9983011407829973
UBE2J2	9.50451227247328	0.11494006113670352	1.4991976420023954	0.07666771739527581	0.9388878867122744	0.9983011407829973
PUSL1	1.0059193740377117	-3.493123386969354	5.796215599973434	-0.6026558754966541	0.5467376409890524	0.9983011407829973
INTS11	2.00671600531013	-1.364675618216484	2.860345751596793	-0.4771016292190031	0.6332897545951832	0.9983011407829973
CPTP	1.7141877271054906	5.046029815089066	3.805585905148754	1.3259534644224056	0.18485511203540325	0.9983011407829973
DVL1	2.0015932625448367	1.6111133528139752	2.959205051186673	0.5444412688360009	0.5861378534647266	0.9983011407829973
AURKAIP1	11.455688289273173	-0.8787276835070179	1.298069508433181	-0.6769496377491183	0.4984379085496083	0.9983011407829973
CCNL2	1.863013237590457	-1.174680651562459	2.9536843733791796	-0.3977001273899008	0.6908512435148773	0.9983011407829973
ATAD3B	0.8622166063180384	-3.2707430531954844	5.800488106751973	-0.5638737625180584	0.5728400473759112	0.9983011407829973
SSU72	12.397934746831035	-0.7001857417084867	1.2582550384566629	-0.5564736244309525	0.5778871203120112	0.9983011407829973
AL691432.2	0.4311083031590192	-2.2707966457531388	5.830307398329104	-0.3894814613726751	0.6969200218562304	0.9983011407829973
MIB2	2.2257746953260056	0.4825065966234071	2.825314743525355	0.170779768069786	0.8643969380918571	0.9983011407829973
MMP23B	2.104000418953274	0.3909101492299217	2.635898659098496	0.14830241970061814	0.8821041058322513	0.9983011407829973
CDK11B	2.011838748075423	-4.493216831986862	3.128218108901655	-1.436350240157797	0.15090270479522164	0.9983011407829973
SLC35E2B	0.4311083031590192	-2.2707966457531388	5.830307398329104	-0.3894814613726751	0.6969200218562304	0.9983011407829973
CDK11A	3.2949181720218945	-0.8509630635435419	2.9447837532434535	-0.28897302309762857	0.7726020217285163	0.9983011407829973
SLC35E2A	2.9366044197764314	5.7925415758064	3.333967741657682	1.737431800382775	0.08231098221806865	0.9983011407829973
NADK	1.2882021667117645	0.02465004113639816	4.118583855877295	0.00598507690968149	0.9952246280484468	0.9983011407829973
GNB1	22.371614525116716	0.592005825882311	0.8660323130995238	0.6835839921070914	0.4942378958589245	0.9983011407829973
FAAP20	7.264493199948272	-0.953352157668506	1.8517861902681352	-0.5148284195436529	0.6066729241471984	0.9983011407829973
SKI	5.420847082322109	-0.5407123815313803	2.3736734829616637	-0.22779560264401924	0.8198051454146922	0.9983011407829973
RER1	11.599391056992843	-0.9164007668095208	1.2865215315931566	-0.712308923174182	0.4762734996645284	0.9983011407829973
PANK4	0.4311083031590192	-2.2707966457531388	5.830307398329104	-0.3894814613726751	0.6969200218562304	0.9983011407829973
TNFRSF14	8.457972324399538	-1.5420973804701976	3.7636157633786538	-0.40973826166724153	0.6819979594865557	0.9983011407829973
PRXL2B	0.7185138385983655	-3.0077231348703406	5.806464284821591	-0.5179956316501748	0.6044613171705842	0.9983011407829973
TPRG1L	5.3473774941333465	2.0551972510906955	2.3772974297367586	0.8645099369489792	0.38730782395989655	0.9983011407829973
SMIM1	2.1014390475706275	2.763128487294054	2.868929572484545	0.963121755861415	0.3354864250061681	0.9983011407829973
LRRC47	0.8622166063180384	-3.2707430531954844	5.800488106751973	-0.5638737625180584	0.5728400473759112	0.9983011407829973
CEP104	2.150418773029803	-1.5329432492136914	2.80343590474436	-0.5468087380273021	0.5845101392734671	0.9983011407829973
DFFB	1.2882021667117645	0.02465004113639816	4.118583855877295	0.00598507690968149	0.9952246280484468	0.9983011407829973
C1orf174	1.9628590226162472	-0.7003182672521213	2.904604297760269	-0.241106255950986	0.8094727642427144	0.9983011407829973
KCNAB2	1.4319049344314376	-0.38264265888005633	3.628956904833987	-0.10544149983438864	0.9160254874739198	0.9983011407829973
ICMT	0.4311083031590192	-2.2707966457531388	5.830307398329104	-0.3894814613726751	0.6969200218562304	0.9983011407829973
ACOT7	3.470119879343888	0.9161131196770872	3.0550424406291077	0.29986919575769855	0.7642769318679195	0.9983011407829973
TNFRSF25	3.825872260206704	-0.9366139162707388	2.722379616008728	-0.34404236307201913	0.7308144273949244	0.9983011407829973
NOL9	2.150418773029803	-1.5329432492136914	2.80343590474436	-0.5468087380273021	0.5845101392734671	0.9983011407829973
PHF13	0.4311083031590192	-2.2707966457531388	5.830307398329104	-0.3894814613726751	0.6969200218562304	0.9983011407829973
THAP3	1.2933249094770576	-3.855744724967963	4.45074659983266	-0.8663141426907864	0.3863179126475223	0.9983011407829973
DNAJC11	0.5748110708786923	-2.685811713319585	5.815416985671268	-0.4618433587715575	0.6441936549285538	0.9983011407829973
CAMTA1	35.694088720195225	0.9821234842518962	0.6808013527707575	1.4425991961602362	0.14913340995866772	0.9983011407829973
