"","primerid","Pr(>Chisq)","coef","ci.hi","ci.lo","fdr","label"
"1","ABCB1",0.0623883415376893,-0.171686133021709,-0.00814685013318628,-0.335225415910232,0.248888720357183,FALSE
"2","ABLIM1",0.0128879107532134,0.37197495667973,0.650115965987196,0.0938339473722648,0.115504860524082,FALSE
"3","AC007952.4",0.0336078523436739,-0.222269338073738,-0.115654525967305,-0.32888415018017,0.175425602892803,FALSE
"4","AC008875.3",0.766037539994893,-0.0720933712497523,0.117036255810074,-0.261222998309579,0.887482515847741,FALSE
"5","AC020916.1",0.0953789591252375,0.0642593978243414,0.335061413978385,-0.206542618329702,0.313190506660873,FALSE
"6","AC044849.1",0.0553963924684036,-0.153380429449317,-0.00563952517814614,-0.301121333720488,0.237895305769301,FALSE
"7","AC092821.3",0.663680349575797,0.138677541683036,0.445688721012992,-0.16833363764692,0.818826405320788,FALSE
"8","AC103591.3",0.885701287423402,0.000538511815004306,0.201493149733537,-0.200416126103528,0.93908060608508,FALSE
"9","AC253572.2",0.0572473658083091,-0.202471266182066,-0.0973146027792829,-0.307627929584848,0.240641581937583,FALSE
"10","ACTB",0.820293760876208,-0.0839202228719438,0.24701554858082,-0.414855994324708,0.902901618957682,FALSE
"11","ACTG1",0.111427495271009,0.318467954054793,0.613028673152662,0.0239072349569233,0.342327107938856,FALSE
"12","ADD3",0.112916678667312,-0.0284567515460631,0.140820842203058,-0.197734345295184,0.342327107938856,FALSE
"13","AGO2",0.0151322883570404,0.404582542645265,0.699491481362014,0.109673603928516,0.126790514002542,FALSE
"14","AHI1",0.389195764770806,0.117862576494311,0.316105271558375,-0.0803801185697529,0.630948765413423,FALSE
"15","AHNAK",0.0272207775604686,0.413491486475554,0.734633304615067,0.0923496683360407,0.160586238785259,FALSE
"16","AKAP5",0.485055335763154,-0.090005443687181,0.036804581860262,-0.216815469234624,0.704674555563327,FALSE
"17","AKAP9",0.473042894027991,-0.0459012485750951,0.23737447842929,-0.329176975579481,0.696321316336456,FALSE
"18","AL021155.5",0.771833310237844,-0.0848997793198484,0.133818383674775,-0.303617942314472,0.889343544169935,FALSE
"19","AL118516.1",0.379681335915582,-0.0350104776117636,0.128317949572277,-0.198338904795804,0.626210536666325,FALSE
"20","AL627171.2",0.898399169949953,0.0537156509216144,0.290656285580036,-0.183224983736808,0.946670992906499,FALSE
"21","ALOX5AP",0.0593086976582851,-0.138647250614996,0.094581781917774,-0.371876283147765,0.245805823869837,FALSE
"22","AMD1",0.136688564488798,-0.0852977678943047,0.13605838703545,-0.306653922824059,0.389324016524224,FALSE
"23","ANKH",0.793856132059058,-0.0575331534206236,0.102618806684496,-0.217685113525743,0.889343544169935,FALSE
"24","ANKIB1",0.274348037951203,0.0287319282477414,0.196373572063242,-0.138909715567759,0.522106437574118,FALSE
"25","ANKLE2",0.182227916620996,0.167744447577817,0.404277917129228,-0.0687890219735947,0.434966132638056,FALSE
"26","ANKRD12",0.113542788348525,-0.0774849967060636,0.219170637441895,-0.374140630854022,0.342327107938856,FALSE
"27","ANKRD28",0.396415619777206,-0.0719020180398793,0.0624721648341918,-0.20627620091395,0.63169739915548,FALSE
"28","ANXA1",0.361315922135119,0.000154754877720542,0.360385983783846,-0.360076474028405,0.597996735241051,FALSE
"29","ANXA2",0.0226619038171451,0.35117080094333,0.633409766219304,0.068931835667356,0.153619730845552,FALSE
"30","ANXA2R",0.418883171328355,-0.0988868577738133,0.0250641202521068,-0.222837835799733,0.654223641108631,FALSE
"31","ANXA5",0.47349849510879,-0.0445651982668414,0.192855571905638,-0.281985968439321,0.696321316336456,FALSE
"32","APOL6",0.0232855170965889,0.0460619605298224,0.292017120299588,-0.199893199239944,0.153619730845552,FALSE
