Gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	significant	gene_class	-log10_p_val
NDUFA12	7.52387279588371e-34	0.5804451909589071	0.306	0.147	2.745084989578172e-29	TRUE	Other	28.561444204972204
CXCL2	1.55943823530119e-33	-0.7592586017433485	0.915	0.933	5.689610401496392e-29	TRUE	Other	28.244917471087035
PPIF	3.8813708570449566e-33	-0.5454405067881596	0.326	0.508	1.4161181571928523e-28	TRUE	Other	27.848900508739472
NINJ1	5.604078109747779e-33	-0.4025200217275877	0.786	0.923	2.044647898341477e-28	TRUE	Other	27.689381469550604
HNRNPA1	1.577374831567137e-32	0.4622960553180402	0.832	0.743	5.7550520729727005e-28	TRUE	Other	27.23995074242474
SCN1B	3.2126683598331024e-32	-0.47104484488269455	0.079	0.213	1.1721420510851072e-27	TRUE	Other	26.93101975328034
SEC22B	3.8842318270997546e-32	-0.4725602621934714	0.337	0.514	1.4171619821173456e-27	TRUE	Other	26.848580506902024
IRAK3	4.800742134755007e-32	-0.5096200248132541	0.386	0.556	1.7515507678653644e-27	TRUE	Other	26.756577270345
CXCL1	8.215324823556676e-32	-1.6805454325452924	0.283	0.433	2.9973612618746533e-27	TRUE	Other	26.52326090984603
ADAM17	8.257040895381164e-32	-0.517616826357169	0.351	0.525	3.0125813706798175e-27	TRUE	Other	26.52106121384115
AQP9	8.291377333328982e-32	-0.36298616028877495	0.775	0.901	3.0251090200650795e-27	TRUE	Other	26.519258969454647
IRF7	1.369305046688356e-31	-0.5056386142005718	0.112	0.254	4.9959094628424665e-27	TRUE	Other	26.301385440623005
HSPA13	1.821135053267638e-31	-0.4683374529372827	0.226	0.392	6.644411241846978e-27	TRUE	Other	26.17754349564603
PLA2G7	2.2392394370772767e-31	-0.5344119102483891	0.092	0.228	8.169865086176443e-27	TRUE	Other	26.087785115170508
HEY1	5.653173880595164e-31	-0.45968929638676725	0.031	0.132	2.0625604903351454e-26	TRUE	Other	25.685593305695114
EEF1D	5.8808760637992925e-31	0.42564465741345	0.881	0.829	2.1456376318771718e-26	TRUE	Other	25.66844362242812
TOMM7	8.06345086596133e-31	0.42683863265345057	0.815	0.741	2.941950048445991e-26	TRUE	Other	25.53136470545908
PID1	1.2353183338243565e-30	-0.42637882097172153	0.078	0.209	4.5070589409581645e-26	TRUE	Other	25.34610676241593
RDX	1.929565176559498e-30	-0.6523726802709666	0.302	0.455	7.040018546677328e-26	TRUE	Other	25.152426196723084
ATP2B1	2.8233402786322815e-29	-0.35064973259851495	0.877	0.938	1.030095700658988e-24	TRUE	Other	23.987122425452704
SLC16A10	1.3116384087870042e-28	-0.4382926747535211	0.013	0.093	4.785512734459384e-24	TRUE	Other	23.320071523756148
SAMD9	1.8129053107778031e-28	0.65391595444209	0.282	0.142	6.614385026372815e-24	TRUE	Other	23.179510528206382
LDHA	1.872589898440814e-28	0.5908515764313198	0.522	0.365	6.83214424446131e-24	TRUE	Other	23.16544297312814
