Gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	gene_class	-log10_p_val
S1PR4	0.13034975699177456	-0.16273818524450487	0.063	0.095	1	Other	-0
ETF1	0.1304620150797062	-0.1056089953178958	0.488	0.392	1	Other	-0
AC097534.2	0.13048296444203356	-0.02546693568428377	0.004	0.014	1	Other	-0
TAF6	0.13048296444203356	-0.02496902534061438	0.004	0.014	1	Other	-0
NEURL1	0.13048296444203356	-0.0234800313932311	0.004	0.014	1	Other	-0
KIAA0556	0.13048296444203356	-0.03710927012492382	0.004	0.014	1	Other	-0
PRC1	0.1304926775643957	-0.07696920176389138	0.048	0.02	1	Other	-0
FLT1	0.1306026853566244	-0.11235969934373367	0.46	0.385	1	Other	-0
SYNC	0.13079241631781038	-0.0274106412741439	0.038	0.014	1	Other	-0
TBC1D4	0.13079302123744233	-0.03232949904144629	0.004	0.014	1	Other	-0
FANCA	0.13079302123744233	-0.15276877960142954	0.004	0.014	1	Other	-0
ZNF875	0.13079302123744233	-0.0202792755483295	0.004	0.014	1	Other	-0
RABIF	0.13104003143587467	-0.09661414359851012	0.113	0.155	1	Other	-0
TTPAL	0.13105831215593214	-0.00190564822432009	0.016	0.034	1	Other	-0
VMAC	0.13110363929947674	-0.1767351495220577	0.004	0.014	1	Other	-0
PMS1	0.1311036491993897	-0.01864168466096201	0.004	0.014	1	Other	-0
LTA	0.1311036491993897	-0.03131702990003706	0.004	0.014	1	Other	-0
HINT3	0.1311036491993897	-0.08808838334959578	0.004	0.014	1	Other	-0
PDGFA	0.1311036491993897	-0.01845985747574157	0.004	0.014	1	Other	-0
DDIT4-AS1	0.1311036491993897	-0.01200906785994264	0.004	0.014	1	Other	-0
ESYT1	0.1311036491993897	-0.02076839642939468	0.004	0.014	1	Other	-0
ELL	0.13111784612872446	-0.27225589647865633	0.037	0.061	1	Other	-0
SLC25A11	0.131147663591039	0.04632758859608985	0.038	0.014	1	Other	-0
SLC35B2	0.13119779825323943	0.05461468503611397	0.027	0.007	1	Other	-0
ANKHD1	0.13120846570257463	-0.18372369858020765	0.234	0.169	1	Other	-0
ST13	0.13122807565291814	0.04093366756040284	0.328	0.257	1	Other	-0
CENPU	0.13125645126846475	-0.02800836830005722	0.036	0.061	1	Other	-0
KMT5B	0.1313556269917818	-0.1717351645203226	0.107	0.068	1	Other	-0
SPATA6	0.13141484891833655	-0.16071437181444326	0.004	0.014	1	Other	-0
AC137695.3	0.13141484891833655	-0.02515781331165426	0.004	0.014	1	Other	-0
MAP4K2	0.13141484891833655	-0.06194516214398065	0.004	0.014	1	Other	-0
GNAQ	0.13142611489633896	0.02927671828092098	0.115	0.074	1	Other	-0
TMX1	0.13147910336793844	0.11557276896214652	0.138	0.095	1	Other	-0
NSD3	0.1315472223930736	-0.45754296518575066	0.083	0.115	1	Other	-0
EPS15L1	0.13156341495685944	-0.14232256018628042	0.031	0.054	1	Other	-0
DPP7	0.13156361500972405	-0.00501244398591049	0.141	0.095	1	Other	-0
ANKRA2	0.1316382288189363	-0.11091335458747244	0.021	0.041	1	Other	-0
ADAT1	0.131707619443438	-0.26469769259200454	0.008	0.02	1	Other	-0
ICA1L	0.13172662098413265	-0.02248032051975184	0.004	0.014	1	Other	-0
CCR4	0.13172662098413265	-0.06389268174204926	0.004	0.014	1	Other	-0
TRGC1	0.13172662098413265	-0.02476702917243822	0.004	0.014	1	Other	-0
SH2B2	0.13172662098413265	-0.02221732799424955	0.004	0.014	1	Other	-0
TUBGCP5	0.13172662098413265	-0.1741618495102492	0.004	0.014	1	Other	-0
AC016596.1	0.13180991084298208	0.00154405665064238	0.093	0.054	1	Other	-0
DNPEP	0.13188689178117877	-0.08506259604447555	0.026	0.047	1	Other	-0
TMEM8B	0.13195426679705968	-0.04536941370844184	0.026	0.047	1	Other	-0
EML2	0.13217433995184708	-0.3061315206019379	0.008	0.02	1	Other	-0
ID3	0.13217496913650545	-0.012275934088569	0.027	0.007	1	Other	-0
