Gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	gene_class	-log10_p_val
TFCP2	0.00634567714989031	-0.11239367777460618	0	0.037	1	Other	-0
CTSB	0.00637855155370241	0.2543452580954646	0.525	0.389	1	Other	-0
TTC1	0.00639954777002899	-0.23053801389345976	0.01	0.06	1	Other	-0
PHGDH	0.00643362530298471	-0.2035661322750809	0.04	0.111	1	Other	-0
RUNX2	0.00655643052397852	0.24171363120097747	0.172	0.083	1	Other	-0
DDX19B	0.00656136920304614	0.16031695057471151	0.066	0.014	1	Other	-0
ZSWIM8	0.00657889001796273	0.13655975380241386	0.177	0.083	1	Other	-0
COX7A2L	0.00682193465052532	0.2742260605860809	0.354	0.236	1	Other	-0
ATP6V1A	0.00703382555215373	-0.2103582971883388	0.045	0.12	1	Other	-0
MRPL46	0.00713819612823939	0.13053932865929307	0.056	0.009	1	Other	-0
C22orf39	0.00717316286751106	0.19219790253139585	0.096	0.032	1	Other	-0
AKAP13	0.00736910385191597	0.2834654128555687	0.702	0.579	1	Other	-0
HNRNPUL1	0.00750164102028688	-0.25445631499939403	0.121	0.218	1	Other	-0
PHLDA2	0.00751739054613794	0.3704760543608705	0.52	0.398	1	Other	-0
NCF2	0.00775583911606044	0.2106095381235118	0.914	0.912	1	Other	-0
RTF2	0.00832896440196158	-0.25315807630706744	0.146	0.245	1	Other	-0
EIF3H	0.00841048518069359	0.3177823123683494	0.742	0.676	1	Other	-0
PTEN	0.00860007959663769	-0.30540052970908826	0.52	0.63	1	Other	-0
AL162458.1	0.00898190806957491	0.1663336917987327	0.131	0.056	1	Other	-0
LBH	0.00911631036190488	-0.103515345510186	0.005	0.046	1	Other	-0
MAPRE1	0.00942289108111021	-0.3038747015506974	0.379	0.472	1	Other	-0
NUDT4	0.0095196823696376	-0.3170665175477994	0.091	0.176	1	Other	-0
ARPC3	0.00967544299179814	-0.21852015622597865	0.924	0.94	1	Other	-0
LACTB	0.00970128724657742	0.24966840304463367	0.611	0.481	1	Other	-0
SLC9B2	0.00993120684916978	-0.23727822729005477	0.03	0.093	1	Other	-0
AC016949.1	0.0100024022866105	0.1927656039925165	0.086	0.028	1	Other	-0
C3orf14	0.0101123867129993	0.09805703850772228	0.03	0	1	Other	-0
BBS7	0.0101123867129993	0.08461375736091321	0.03	0	1	Other	-0
FMC1	0.0101123867129993	0.08981905242388578	0.03	0	1	Other	-0
AC073896.2	0.0101123867129993	0.09226405412048493	0.03	0	1	Other	-0
HAMP	0.0101123867129993	0.11706095796629984	0.03	0	1	Other	-0
ITGAV	0.0101239248231136	-0.2637988659896213	0.273	0.384	1	Other	-0
RSRC2	0.01019276038535847	0.2376413724596227	0.652	0.528	1	Other	-0
PARVG	0.01021643251382723	0.10271533171668228	0.131	0.056	1	Other	-0
MAGI3	0.01029820997035564	0.14318752626234957	0.071	0.019	1	Other	-0
ASCL2	0.01045487723093233	0.224952800889775	0.141	0.065	1	Other	-0
UBR4	0.01051214489790589	0.2512470837996623	0.338	0.213	1	Other	-0
GPI	0.01056756622470415	0.14499222211136126	0.101	0.037	1	Other	-0
CWF19L2	0.01066101475499079	-0.3473427981171374	0.01	0.056	1	Other	-0
SIGLEC10	0.01066101475499079	-0.13276639173254648	0.01	0.056	1	Other	-0
PPIL4	0.01069919755542294	-0.26016453109937115	0.04	0.106	1	Other	-0
AC008443.1	0.0107798584237189	-0.08326569174118742	0	0.032	1	Other	-0
CYTH3	0.0107798584237189	-0.0827625284064652	0	0.032	1	Other	-0
HPS6	0.0107798584237189	-0.10866395778594672	0	0.032	1	Other	-0
MUS81	0.0107798584237189	-0.10468784678963997	0	0.032	1	Other	-0
TBCD	0.0107798584237189	-0.1233034653220501	0	0.032	1	Other	-0
GRWD1	0.0107798584237189	-0.08361164905913739	0	0.032	1	Other	-0
EGR3	0.01097392402370856	-0.4085080310837508	0.015	0.065	1	Other	-0
SNRPN	0.01098691600146728	-0.1133227537342619	0.01	0.056	1	Other	-0
THUMPD1	0.01106553862081718	-0.3749233268593007	0.061	0.134	1	Other	-0
ARIH2	0.01113246794689	-0.3406474781796733	0.162	0.259	1	Other	-0
TYMP	0.01126144719280772	0.34374425619479876	0.793	0.778	1	Other	-0
PFDN6	0.01153947285973423	0.1333448577081583	0.061	0.014	1	Other	-0
UQCRC2	0.01167208654410952	0.192343817275359	0.232	0.13	1	Other	-0
SIK3	0.01184298862930074	-0.25407064158754117	0.091	0.171	1	Other	-0
SERPINB9P1	0.01184305478449738	-0.30348143652156323	0.404	0.514	1	Other	-0
OSTF1	0.01211203364592886	-0.21698309818923112	0.152	0.245	1	Other	-0
USP25	0.012263901816525	0.17850694763898706	0.106	0.042	1	Other	-0
AC010980.1	0.01226684889512997	-0.2549619423321148	0.051	0.12	1	Other	-0
MRPL23	0.01239117339497314	0.1265433639368434	0.136	0.06	1	Other	-0
CACUL1	0.01253987620571475	0.2049780887658661	0.091	0.032	1	Other	-0
AC007728.2	0.01263011326586812	0.16806823298865747	0.051	0.009	1	Other	-0
PRMT2	0.01283846207682495	0.24376208241879305	0.328	0.218	1	Other	-0
APPBP2	0.01289639125091138	0.2346443680266933	0.091	0.032	1	Other	-0
MGA	0.01294579633964865	0.11835228599512249	0.04	0.005	1	Other	-0
USP10	0.01304148962761329	0.18191210393086943	0.091	0.032	1	Other	-0
U91324.1	0.01318448782124383	0.10133010837693111	0.04	0.005	1	Other	-0
HINT2	0.01318448782124383	0.08445209867618383	0.04	0.005	1	Other	-0
PMAIP1	0.01327599521297283	0.2169692831243233	0.919	0.861	1	Other	-0
FAM122A	0.01330528640824072	0.07758279462166946	0.04	0.005	1	Other	-0
ATXN1L	0.01341057068465863	0.128060238538978	0.091	0.032	1	Other	-0
TRAF1	0.01347361870333341	0.2674084710617668	0.722	0.676	1	Other	-0
IDI1	0.01410866058651453	-0.302727475646775	0.091	0.176	1	Other	-0
CD151	0.01414043046330977	0.17286232971553428	0.207	0.111	1	Other	-0
SMCR8	0.01419382474616488	-0.2888374523126704	0.04	0.102	1	Other	-0
CAMTA1	0.01443807958229148	0.201477743956317	0.308	0.194	1	Other	-0
BOLA2	0.01446512914772109	0.1163780286645176	0.076	0.023	1	Other	-0
TNPO1	0.01485106838100466	-0.27420033482582423	0.162	0.25	1	Other	-0
CBX6	0.01512398814379442	-0.24057112854591017	0.035	0.093	1	Other	-0
MED10	0.01518379914735071	-0.27695696715737017	0.268	0.37	1	Other	-0
ZCCHC8	0.01524643456048946	0.2378960430793436	0.141	0.069	1	Other	-0
RAVER1	0.01535167285551799	-0.11811587676580676	0.005	0.042	1	Other	-0
CHCHD7	0.01598103907006651	-0.16478510286586273	0.025	0.079	1	Other	-0
VPS4B	0.01607655639390205	0.2867974131112583	0.419	0.306	1	Other	-0
TIPARP-AS1	0.01615371497907221	-0.08828219059814853	0.005	0.042	1	Other	-0
RPA3	0.01635538590038762	-0.17433303797881822	0.025	0.079	1	Other	-0
PGP	0.01649773964895603	0.158793553118105	0.081	0.028	1	Other	-0
GNA13	0.01650421289214553	-0.3555599655071724	0.263	0.366	1	Other	-0
IL1RAP	0.01660925003489171	0.15458362218003951	0.066	0.019	1	Other	-0
CCL4L2	0.01673900199508819	0.16329458956351228	0.975	0.963	1	Other	-0
NBPF12	0.0168049108114363	-0.13381790421308404	0.01	0.051	1	Other	-0
STAT1	0.01692620971001805	0.2538849937853782	0.207	0.12	1	Other	-0
TBL1XR1	0.01698601650530653	0.2031645964719187	0.126	0.06	1	Other	-0
CREB3	0.01699141808862537	-0.13357671786821823	0.02	0.069	1	Other	-0
SLC35D2	0.0170364736229197	-0.1360167540056445	0.015	0.06	1	Other	-0
TMEM258	0.01741616622962944	0.21193230098194984	0.581	0.444	1	Other	-0
CDC37L1	0.01741626232508735	0.2500982057987946	0.101	0.042	1	Other	-0
ST3GAL1	0.01773707194637942	0.25513720298039044	0.601	0.491	1	Other	-0
RAB3GAP2	0.01798165105914156	-0.2019138997987061	0.035	0.093	1	Other	-0
XRRA1	0.0182444331991398	0.15739035341828422	0.056	0.014	1	Other	-0
PYHIN1	0.01840010478639146	-0.07253441193750945	0	0.028	1	Other	-0
HS6ST1	0.01840010478639146	-0.09957719126989836	0	0.028	1	Other	-0
GUF1	0.01840010478639146	-0.0752839658728992	0	0.028	1	Other	-0
PTGES	0.01840010478639146	-0.0913576482030833	0	0.028	1	Other	-0
LRRC32	0.01840010478639146	-0.09141121712492868	0	0.028	1	Other	-0
TUBGCP4	0.01840010478639146	-0.08898787602377146	0	0.028	1	Other	-0
MRPL39	0.01840010478639146	-0.07906009985933539	0	0.028	1	Other	-0
B3GNT2	0.01851198819971112	0.25012475014964086	0.182	0.102	1	Other	-0
SERP1	0.01851958690074546	0.15856867395891516	0.889	0.829	1	Other	-0
AGTRAP	0.01852133956698843	0.25400930160732627	0.247	0.148	1	Other	-0
HSPD1	0.01872125641281657	-0.2685059467587084	0.045	0.106	1	Other	-0
ARID1B	0.01887519206803864	-0.19423838314307365	0.03	0.083	1	Other	-0
MICAL1	0.0189003560947288	0.12023688429206404	0.056	0.014	1	Other	-0
AC009812.1	0.01903398772863659	0.21467967789805092	0.056	0.014	1	Other	-0
TNPO2	0.01904337315114945	-0.10044100230097204	0.01	0.051	1	Other	-0
AL691432.2	0.01904437944400808	0.08035680837495213	0.025	0	1	Other	-0
MIR34AHG	0.01904437944400808	0.06207870757409495	0.025	0	1	Other	-0
SH3BP5L	0.01904437944400808	0.06411658886139388	0.025	0	1	Other	-0
NUDT9	0.01904437944400808	0.1012690021319637	0.025	0	1	Other	-0
PRR3	0.01904437944400808	0.06918296981357984	0.025	0	1	Other	-0
AC009403.1	0.01904437944400808	0.05575466671625313	0.025	0	1	Other	-0
ACBD5	0.01904437944400808	0.06908357501735551	0.025	0	1	Other	-0
KLF5	0.01904437944400808	0.10892681792901208	0.025	0	1	Other	-0
AC010654.1	0.01904437944400808	0.0751433054795769	0.025	0	1	Other	-0
GEMIN4	0.01904437944400808	0.07034503322138012	0.025	0	1	Other	-0
NME1	0.01904437944400808	0.06563648786924928	0.025	0	1	Other	-0
DNAH17	0.01904437944400808	0.0716415464997456	0.025	0	1	Other	-0
CXorf40B	0.01904437944400808	0.07482654593149098	0.025	0	1	Other	-0
PAF1	0.01944852589922637	0.14962709083753728	0.086	0.032	1	Other	-0
SP100	0.01995842358409304	0.2552601524396714	0.414	0.296	1	Other	-0
CD2	0.0202433066486947	-0.16785880619728144	0.035	0.093	1	Other	-0
EIF3L	0.02059338316674943	0.35071043666650714	0.434	0.338	1	Other	-0
ARID5B	0.02059829018037901	-0.2877413547061457	0.217	0.315	1	Other	-0
PRRG4	0.0206188701341403	-0.3525851256649343	0.025	0.074	1	Other	-0
OTUD1	0.02090441472140508	0.2364193564249193	0.712	0.602	1	Other	-0
NOTCH2	0.02091585382315119	-0.3402891625204111	0.343	0.431	1	Other	-0
PBRM1	0.02105412913226137	-0.34162052744810223	0.106	0.176	1	Other	-0
MINDY3	0.02115249632981853	0.22687588284299767	0.071	0.023	1	Other	-0
PSME1	0.02119767834300794	0.23683510864038348	0.813	0.773	1	Other	-0
VAMP3	0.0212348596297228	0.22001323286532903	0.419	0.306	1	Other	-0
NR1H2	0.02151304396442163	-0.2636282443674641	0.167	0.255	1	Other	-0
MELTF	0.02153630836231223	0.15533716705242398	0.071	0.023	1	Other	-0
TP53BP1	0.021744531913836	0.1050748762411476	0.045	0.009	1	Other	-0
TIMM44	0.02220867935882758	-0.14891299562476287	0.025	0.074	1	Other	-0
ZNF76	0.02225739142709706	0.11338991827877466	0.045	0.009	1	Other	-0
KDM3B	0.02233527432565623	-0.26462169296972765	0.025	0.074	1	Other	-0
LDHA	0.02242958737589228	-0.16913093152965877	0.444	0.546	1	Other	-0
RP9	0.02285162779713981	0.11268691192167654	0.035	0.005	1	Other	-0
URI1	0.02295754620113909	0.10338663420960724	0.045	0.009	1	Other	-0
PARN	0.02305887408787735	0.0909428300204929	0.035	0.005	1	Other	-0
AC008982.2	0.02305887408787735	0.20702022435450776	0.035	0.005	1	Other	-0
A1BG	0.02318025574240121	0.127488376846339	0.126	0.06	1	Other	-0
CRTAP	0.02322431022846799	0.23151537603560396	0.222	0.134	1	Other	-0
CBX3	0.02322670771486069	-0.2683812083640412	0.263	0.361	1	Other	-0
SFPQ	0.02337070283639833	-0.21517805188818007	0.667	0.755	1	Other	-0
TP53INP2	0.02343903855671361	0.19160655994153708	0.434	0.315	1	Other	-0
CRLS1	0.02347826820516394	0.10387432704046186	0.035	0.005	1	Other	-0
TMEM91	0.02349514291885794	0.0954870414435947	0.045	0.009	1	Other	-0
ATP2A3	0.02369043671979329	0.07099765761527672	0.035	0.005	1	Other	-0
PAG1	0.02373777134584458	-0.1930890007554304	0.091	0.162	1	Other	-0
AC024909.1	0.02379182989108624	-0.12939113582144773	0.045	0.106	1	Other	-0
WDR47	0.02390426673361614	0.08542063847945669	0.035	0.005	1	Other	-0
ODF2	0.0241197686953309	0.08212168147139866	0.035	0.005	1	Other	-0
OGFR	0.024251432897141	0.2179753771618657	0.192	0.116	1	Other	-0
WAKMAR2	0.02429973461258529	0.10232733732639052	0.111	0.051	1	Other	-0
MKRN2	0.02433695309541719	0.0728215012477362	0.035	0.005	1	Other	-0
LINC01943	0.02441967022436978	0.1466313968948701	0.152	0.079	1	Other	-0
GABARAPL2	0.02494090711557843	0.22644445317948692	0.439	0.338	1	Other	-0
EEF1G	0.02501912997762129	0.17602007748992363	0.879	0.847	1	Other	-0
RAB6A	0.02502185852791088	-0.21830058511552788	0.056	0.116	1	Other	-0
ZNF385A	0.02503235740683888	0.1221982335613792	0.197	0.116	1	Other	-0
PTPN6	0.02508433816306708	0.18326594350467773	0.111	0.051	1	Other	-0
ERO1B	0.02508814636345702	-0.22731496298970097	0.081	0.148	1	Other	-0
