Clone	CD4 T cell	CD14 Mono	CD8 T cell	NK	B	CD16 Mono	DC	Platelet
Mutant	0.01726121979286536	0.6041426927502876	0.07710011507479862	0.17491369390103567	0.05983889528193326	0.026467203682393557	0.011507479861910242	0.019562715765247412
Wildtype	0.11929431531783814	0.15849901988238588	0.40296835620274435	0.165499859983198	0.02520302436292355	0.01008120974516942	0.002800336040324839	0.005600672080649678
Control	0.3733631692358694	0.15025692027183823	0.24067628045748385	0.08622023316205316	0.05536217470578485	0.007016962263108459	0.0029007127465605835	0.00524890877949058
