Clone	CD4 T cell	CD14 Mono	CD8 T cell	NK	B	DC	Platelet
Mutant	0.012233801540552787	0.9309016764839149	0.02492070684186679	0.007702763932940644	9.062075215224287e-4	0.01676483914816493	0.0036248300860897147
Wildtype	0.27503628447024675	0.07934204160619256	0.4869375907111756	0.06361877116594097	0.027576197387518143	0.001451378809869376	4.837929366231253e-4
Control	0.3733631692358694	0.15025692027183823	0.24067628045748385	0.08622023316205316	0.05536217470578485	0.0029007127465605835	0.00524890877949058
