Gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	significant	gene_class	-log10_p_val
ZER1	0.00832122712508507	-0.04938730617703744	0.006	0.013	1	FALSE	Other	-0
BX890604.2	0.00833417765999	0.0213155508557354	0.012	0.005	1	FALSE	Other	-0
ZNF440	0.00833464267543637	-0.04861449678644206	0.006	0.013	1	FALSE	Other	-0
USP1	0.00833821139315334	-0.2397812842245694	0.063	0.08	1	FALSE	Other	-0
AC073957.3	0.0083434964120499	-0.039340473631370373	0.022	0.034	1	FALSE	Other	-0
AL355388.2	0.0083510308428126	0.02750358756394544	0.01	0.004	1	FALSE	Other	-0
DENND4C	0.00835252383342718	-0.08585903400218883	0.034	0.049	1	FALSE	Other	-0
PLOD3	0.00835438007482453	-0.02688765042045552	0.007	0.015	1	FALSE	Other	-0
MTRNR2L12	0.00836827622008904	0.03717403230136085	0.015	0.007	1	FALSE	Other	-0
ATXN7L3B	0.00838452706015343	-0.12056242521514143	0.107	0.13	1	FALSE	Other	-0
MCOLN2	0.00840000913405448	-0.06668063245710698	0.024	0.036	1	FALSE	Other	-0
CCNYL1	0.00842211632454899	0.02368593020226089	0.076	0.056	1	FALSE	Other	-0
SERPINB1	0.00842262159112507	-0.12265778460456687	0.778	0.757	1	FALSE	Other	-0
ACAT1	0.00844538546896404	-0.09588273528632202	0.014	0.023	1	FALSE	Other	-0
CHST12	0.00848834861619216	-0.09666910264221618	0.035	0.05	1	FALSE	Other	-0
AC092053.3	0.00849669860563985	0.03119415541689282	0.016	0.007	1	FALSE	Other	-0
HHLA2	0.00850261831378348	0.04456721465132494	0.019	0.01	1	FALSE	Other	-0
MRPS22	0.0085191044195767	0.02686262722216675	0.106	0.084	1	FALSE	Other	-0
ARHGEF1	0.00853567560935828	-0.14532939205037726	0.054	0.071	1	FALSE	Other	-0
ARID3B	0.00854701567937732	-0.05672986480332942	0.012	0.021	1	FALSE	Other	-0
ZMYM5	0.0085506976652047	-0.11975966370024274	0.049	0.065	1	FALSE	Other	-0
EIF5	0.00855358296545567	-0.12146841101333684	0.718	0.696	1	FALSE	Other	-0
EVI2B	0.00855446089515206	0.00241211947957076	0.68	0.62	1	FALSE	Other	-0
SAAL1	0.00862394189546028	-0.05215707423747506	0.009	0.017	1	FALSE	Other	-0
GIMAP4	0.00863482281600354	-0.19792717873067195	0.064	0.082	1	FALSE	Other	-0
PSMA1	0.00871305131390952	0.01966905268037688	0.464	0.412	1	FALSE	Other	-0
FERMT3	0.00871939169849375	-0.01463101775990627	0.185	0.153	1	FALSE	Other	-0
MYEOV	0.00872298872482515	-0.03384658508568305	0.016	0.026	1	FALSE	Other	-0
IL4I1	0.00873293195372791	0.07718227186706322	0.129	0.104	1	FALSE	Other	-0
TIMM23	0.00874055595068825	0.02588504722907325	0.045	0.03	1	FALSE	Other	-0
TMEM8A	0.00874398755202059	-0.07779545588750235	0.02	0.031	1	FALSE	Other	-0
AL133415.1	0.00876469261434182	0.02068528811448322	0.007	0.002	1	FALSE	Other	-0
KLLN	0.00877639545405141	0.05255731085570869	0.027	0.016	1	FALSE	Other	-0
DGKD	0.00879313212793665	-0.1314417768739986	0.023	0.035	1	FALSE	Other	-0
MORF4L1	0.00886319749510648	-0.14957865008047033	0.662	0.654	1	FALSE	Other	-0
SSC5D	0.00888127698886856	0.03169133722095008	0.014	0.006	1	FALSE	Other	-0
VPS8	0.00890683978557868	-0.08279259173319119	0.021	0.032	1	FALSE	Other	-0
SH2B2	0.00891462519162533	-0.03925679448584713	0.004	0.009	1	FALSE	Other	-0
TRAF3IP3	0.00893305355964663	-0.12070975940377536	0.027	0.04	1	FALSE	Other	-0
CDC37	0.00893887224475479	0.10473998369526716	0.386	0.341	1	FALSE	Other	-0
