Gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	significant	gene_class	-log10_p_val
PHACTR2	4.375960815080799e-50	-0.4363378019496515	0.146	0.275	1.5965693033822293e-45	TRUE	Other	44.79681222499599
TGFB1	1.0237378209601178e-49	0.7402309658396744	0.468	0.394	3.73510743977299e-45	TRUE	Other	44.42769690125703
SRSF2	1.6271598330162636e-49	0.5453195313959736	0.524	0.451	5.936692650759837e-45	TRUE	Other	44.226455434404606
ARL6IP5	2.2833802009757144e-49	-0.3227235563740569	0.437	0.617	8.330912663259894e-45	TRUE	Other	44.07930741841246
MBP	4.185650340505608e-49	-0.3552670556843638	0.485	0.655	1.5271345267334714e-44	TRUE	Other	43.816122703844286
LRRFIP1	7.736614990337986e-49	0.5297933474777872	0.617	0.57	2.8227039792248144e-44	TRUE	Other	43.5493346645134
ATP2B1-AS1	1.3627355251238679e-48	0.5869458497183668	0.173	0.082	4.971940563414432e-44	TRUE	Other	43.303474071731
BTN3A2	1.582907122649582e-48	-0.35145470295760695	0.108	0.226	5.775236636986999e-44	TRUE	Other	43.23843021610557
CKLF	1.6662722334663454e-48	-0.3668219683647693	0.175	0.316	6.07939424380196e-44	TRUE	Other	43.21613969205627
SRSF3	1.6913090355048092e-48	0.5180410037110468	0.5	0.411	6.170741016039295e-44	TRUE	Other	43.20966268039898
CANX	2.9865026779485536e-48	-0.3151295491297035	0.216	0.371	1.0896255020495297e-43	TRUE	Other	42.962722740903224
HTATIP2	3.6107785525350977e-48	-0.3683446819152927	0.078	0.181	1.3173925548924303e-43	TRUE	Other	42.88028479525785
GBP2	4.681533350360015e-48	-0.30987772985862216	0.173	0.315	1.7080574428788515e-43	TRUE	Other	42.76749752784736
PDCD5	5.614178903589924e-48	-0.3195703206028093	0.195	0.344	2.0483331729747844e-43	TRUE	Other	42.688599401496944
TRBC2	1.6639931860927931e-47	-0.3463271696486676	0.646	0.789	6.071079139459555e-43	TRUE	Other	42.21673410585105
CDC42	1.9375502656754592e-47	0.35413489781663143	0.771	0.772	7.069152144316914e-43	TRUE	Other	42.1506326712279
FAM102A	2.3311364161778457e-47	-0.32931004634422534	0.217	0.371	8.50515121442487e-43	TRUE	Other	42.07031796059268
YPEL3	3.142159678358296e-47	-0.3168852604733079	0.203	0.356	1.1464169586490243e-42	TRUE	Other	41.940657398157455
HNRNPF	3.944107432846342e-47	-0.33804779069141944	0.257	0.421	1.4390075968739878e-42	TRUE	Other	41.84193691331027
ENO1	4.159666233290275e-47	-0.34495670626196184	0.365	0.537	1.5176542252159567e-42	TRUE	Other	41.81882716466331
CAPN2	6.918045231437326e-47	-0.35771394991752725	0.135	0.26	2.5240488026899075e-42	TRUE	Other	41.59790225222742
NDUFA12	9.66386231070708e-47	-0.338094024531447	0.274	0.437	3.525860164061477e-42	TRUE	Other	41.452734915854265
TAGLN2	1.3834408195432886e-46	0.5088159828077563	0.644	0.609	5.047483830103687e-42	TRUE	Other	41.296925063668716
SET	2.504033480642328e-46	-0.29781067563726227	0.55	0.724	9.135966154123532e-42	TRUE	Other	41.039245518019484
MYL12B	2.520646773462401e-46	-0.25372700293417205	0.706	0.852	9.196579752977569e-42	TRUE	Other	41.03637365858777
SOD2	4.615265511392581e-46	0.8331348808370254	0.488	0.434	1.6838796218315828e-41	TRUE	Other	40.77368895882386
CSTB	5.3177985981415025e-46	-0.3364619784279639	0.302	0.467	1.9401988185319263e-41	TRUE	Other	40.71215376421045
TNFAIP3	6.69262922652582e-46	0.5819854353984519	0.588	0.528	2.441805773297945e-41	TRUE	Other	40.61228888377345
APBB1IP	1.5832995298811112e-45	-0.3172354231670549	0.238	0.396	5.776668334771233e-41	TRUE	Other	40.23832256659631
ELK3	2.3908367797930142e-45	-0.3226768987421733	0.257	0.417	8.722967991074811e-41	TRUE	Other	40.05933572116456
CXCL2	4.6001398675741275e-45	0.6923510230413633	0.125	0.054	1.6783610306844202e-40	TRUE	Other	39.77511461277492
LPAR6	3.611702258608213e-44	-0.36440778342604185	0.068	0.162	1.3177295690532064e-39	TRUE	Other	38.88017370864838
MTIF3	7.243390707144147e-44	-0.3787828275740152	0.103	0.211	2.6427510995015423e-39	TRUE	Other	38.57794373781541
EVI2A	1.2450082048995611e-43	-0.32138543797598174	0.289	0.447	4.5424124355760485e-39	TRUE	Other	38.342713435866415
LNPEP	2.0984767826773727e-43	-0.282787976815599	0.143	0.269	7.656292541598393e-39	TRUE	Other	38.115981480824914
AC007952.4	3.1172411952545457e-43	0.8597653682295712	0.157	0.077	1.137325450088621e-38	TRUE	Other	37.94411524247759
MRPL34	3.2261705992996917e-43	-0.3038984571990968	0.161	0.291	1.1770683431544927e-38	TRUE	Other	37.92919832033993
GNPDA1	4.134048276394625e-43	-0.3212977453497493	0.028	0.098	1.508307513642579e-38	TRUE	Other	37.821510105506746
HLA-B	4.376439873993654e-43	0.2341047531041145	0.981	0.991	1.5967440880265846e-38	FALSE	Other	37.79676468315005
PCMTD1	4.4286070018759434e-43	-0.30269589899099536	0.102	0.211	1.6157772646344383e-38	TRUE	Other	37.791618507055986
CMPK1	7.23201259210898e-43	-0.3024559219038443	0.215	0.362	2.6385997942309623e-38	TRUE	Other	37.57862647576609
TGFBR2	7.504931036949607e-43	-0.3327268792993259	0.199	0.337	2.738174088831064e-38	TRUE	Other	37.56253894355952
COA6	6.54455518762512e-42	-0.3593566514403882	0.086	0.184	2.387780960205025e-37	TRUE	Other	36.622005515121124
CDC26	7.093118098110232e-42	-0.31977954689927435	0.118	0.231	2.5879241380955187e-37	TRUE	Other	36.58704845864066
NAP1L4	1.710461897800914e-41	-0.3015970690295595	0.242	0.39	6.240620234126636e-37	TRUE	Other	36.204772245113624
RECQL	2.566380524313062e-41	-0.30075152911056524	0.125	0.239	9.36343934295621e-37	TRUE	Other	36.02856459855828
AC020916.1	4.49642898571505e-41	0.6887019773529646	0.2	0.111	1.640522115438136e-36	TRUE	Other	35.785017910631176
RIPOR2	1.1396028998288206e-40	-0.24377024239202827	0.342	0.517	4.157841180025452e-36	FALSE	Other	35.38113210373853
PSMA5	1.5757204887479234e-40	-0.29145922989816975	0.159	0.286	5.749016203196799e-36	TRUE	Other	35.24040646732393
CD48	1.6387096862980666e-40	-0.26820183106180373	0.63	0.789	5.978832290458496e-36	TRUE	Other	35.22338362860861
ADGRE5	8.816813205131315e-40	0.6283019597926964	0.282	0.193	3.2168142978921595e-35	TRUE	Other	34.49257400957629
EIF4B	1.131884260027082e-39	-0.28733299562266446	0.426	0.595	4.1296797227088077e-35	TRUE	Other	34.384083628744044
RASGRP1	8.408093995406792e-39	-0.3190379742744449	0.252	0.395	3.0676930942241677e-34	TRUE	Other	33.51318809131759
SRPK1	9.958285224648575e-39	-0.30994955987667316	0.109	0.213	3.6332803642130333e-34	TRUE	Other	33.43970108825546
THEM4	1.4172784857432222e-38	-0.30084299970168127	0.121	0.231	5.170940555234146e-34	TRUE	Other	33.28643045481779
GTF3A	3.122843350928826e-38	-0.2912047927557748	0.412	0.576	1.1393693965863822e-33	TRUE	Other	32.943335449854025
EVI2B	4.29542059458071e-38	-0.2507017892677932	0.482	0.661	1.5671842039327724e-33	TRUE	Other	32.80487995436108
TMPO	5.141335770824461e-38	-0.29488477835797844	0.176	0.302	1.8758163559853046e-33	TRUE	Other	32.726809681674524
TIAM1	5.303008492234173e-38	-0.2976606963895111	0.069	0.156	1.9348026483916382e-33	TRUE	Other	32.71336332681331
PSMB9	9.011750590693776e-38	-0.26925118497743683	0.26	0.41	3.2879372030146245e-33	TRUE	Other	32.48307648573195
MRPS26	1.0117344908535675e-37	-0.3047102770154335	0.084	0.177	3.6913132898792406e-33	TRUE	Other	32.43281909371202
XAF1	2.3599901999246223e-37	-0.3160021309067611	0.078	0.167	8.610424244424985e-33	TRUE	Other	32.06497544988506
UBXN4	2.7310126912378616e-37	-0.2944739534992291	0.293	0.443	9.964099803981338e-33	TRUE	Other	32.00156193106515
GIMAP6	2.843149772350535e-37	-0.29252006588465007	0.042	0.114	1.0373231944420928e-32	TRUE	Other	31.98408591121503
MLEC	3.65076049699273e-37	-0.2979844361353797	0.106	0.206	1.3319799673277976e-32	TRUE	Other	31.87550230680567
SH3BGRL3	3.89718537469426e-37	-0.20681131798099808	0.849	0.933	1.421888083957201e-32	FALSE	Other	31.847134585345064
EEF1A1	4.21417106099702e-37	-0.13923555030170487	0.989	0.997	1.537540311604763e-32	FALSE	Other	31.81317348896523
HBA1	4.675306927342555e-37	0.961485438782347	0.049	0.011	1.7057857324409312e-32	TRUE	Other	31.768075522443258
SELL	4.872473617684113e-37	-0.355018098387784	0.257	0.391	1.7777219994120487e-32	TRUE	Other	31.750136153130168
VPS28	8.613833795987797e-37	-0.2967620848002528	0.243	0.383	3.1427572604661476e-32	TRUE	Other	31.50268916162041
RNASEK	1.0886710632732684e-36	-0.2533044018284656	0.538	0.702	3.9720163743525196e-32	TRUE	Other	31.400988969825125
STK38	1.1044685241641538e-36	-0.2797819227260364	0.104	0.202	4.029653410412915e-32	TRUE	Other	31.39473230582369
TLK1	1.8969648536703773e-36	-0.28150502966898605	0.202	0.33	6.921076268616372e-32	TRUE	Other	31.159826364910852
ATP5MD	2.6767850073337836e-36	-0.2779593823163675	0.414	0.577	9.76625009925731e-32	TRUE	Other	31.010272158268503
MYCBP2	2.9893543769364687e-36	-0.2603516036882443	0.205	0.337	1.0906659444252706e-31	TRUE	Other	30.962308247311046
EFHD2	4.145722730070277e-36	0.6379793886363823	0.351	0.273	1.5125669380661402e-31	TRUE	Other	30.8202853967155
CCL3L1	1.0866984787393176e-35	0.6138597035024771	0.182	0.104	3.964819399680399e-31	TRUE	Other	30.401776590315748
CD2	2.889987734645595e-35	-0.2314881337742971	0.674	0.81	1.0544120249854451e-30	FALSE	Other	29.976989649833673
KDELR1	2.91649161768647e-35	-0.24267419545696212	0.143	0.256	1.0640819667129086e-30	FALSE	Other	29.973024916852975
RASAL3	3.2661626254474947e-35	-0.28662668173480066	0.099	0.193	1.1916594338945186e-30	TRUE	Other	29.923847844523177
AKT3	3.2797023620040156e-35	-0.25586422626342165	0.094	0.187	1.1965994067771653e-30	TRUE	Other	29.922051216798558
ANKRD12	4.5073137450069645e-35	-0.253282119690307	0.647	0.777	1.6444934198657913e-30	TRUE	Other	29.783967859926353
LUC7L3	4.6577526318399336e-35	-0.21270657554560857	0.175	0.298	1.6993810477268e-30	FALSE	Other	29.769709229506258
LAT	8.992532189909357e-35	-0.26060723354230864	0.309	0.456	3.280925369488429e-30	TRUE	Other	29.48400364830581
MYADM	1.0918984955510392e-34	0.5048874136805491	0.18	0.102	3.9837916610179664e-30	TRUE	Other	29.399703381803594
SMCHD1	1.1931407940571387e-34	-0.2496018638911095	0.314	0.464	4.3531741871174696e-30	FALSE	Other	29.361193954714775
CPNE1	1.2271076995750499e-34	-0.28345280478097956	0.11	0.208	4.47710244189957e-30	TRUE	Other	29.349002968282917
PITPNC1	1.385857517345788e-34	-0.2779410564674254	0.206	0.335	5.056301152036109e-30	TRUE	Other	29.296167067484266
SOS1	1.4141410866194432e-34	-0.27611820691880773	0.066	0.147	5.1594937545310386e-30	TRUE	Other	29.287392908915333
MX1	1.7410469762930331e-34	-0.3137740531689476	0.103	0.197	6.35220989300513e-30	TRUE	Other	29.19707516016095
LDHB	1.7878189914325211e-34	-0.24572190522594628	0.646	0.791	6.522857590241553e-30	FALSE	Other	29.185562103073007
CALM1	2.8139802331644327e-34	0.2609548880345818	0.904	0.945	1.0266806880700432e-29	TRUE	Other	28.98856460700831
SOS2	2.9631269813354707e-34	-0.2851552802190358	0.105	0.201	1.0810968791402464e-29	TRUE	Other	28.966135386351226
SUDS3	3.3390619988863235e-34	-0.25546904203899856	0.072	0.155	1.2182567702936751e-29	TRUE	Other	28.914261166408384
CCL4L2	3.7698558169242676e-34	0.7021208570177475	0.195	0.121	1.375431894804819e-29	TRUE	Other	28.861560909049448
