Gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	significant	gene_class	-log10_p_val
CRIP1	4.03169032745939e-65	0.5457264282220313	0.84	0.832	1.4709622159735584e-60	TRUE	Other	59.83239848268031
IER2	2.93594061337626e-63	0.7412057223900486	0.535	0.451	1.0711779327903283e-58	TRUE	Other	57.970138382753056
FTH1	3.1428243449896495e-63	-0.20494683276731163	0.974	0.994	1.1466594622694734e-58	FALSE	Other	57.940565540787475
ANKRD12	3.237697381492438e-63	-0.3690662751226333	0.637	0.777	1.181273889637516e-58	TRUE	Other	57.9276493953861
CCR7	1.483396413430724e-61	-0.4089473150389855	0.334	0.507	5.412171814401996e-57	TRUE	Other	56.2666284247754
GTF2I	1.1930862483052332e-60	-0.4133117480593031	0.153	0.295	4.352975176941643e-56	TRUE	Other	55.361213809421514
ENO1	8.903492862869328e-60	-0.41082006788782666	0.366	0.537	3.2484393710178742e-55	TRUE	Other	54.48832523450985
CD52	1.050095727189402e-59	0.5508622040941309	0.776	0.772	3.8312742606505324e-55	TRUE	Other	54.416656758060306
GADD45B	1.3594215907773948e-59	0.6351878056808553	0.413	0.303	4.9598496739513255e-55	TRUE	Other	54.30453148616359
ARL4A	3.517515300334549e-59	0.5884852006825458	0.254	0.141	1.2833654573270599e-54	TRUE	Other	53.89164965422524
SFXN1	4.110427233147658e-59	-0.387083642343412	0.131	0.264	1.4996893760139228e-54	TRUE	Other	53.823998685112976
PPP1R14B	6.867240292675722e-59	-0.4957451661655192	0.196	0.341	2.5055126207827375e-54	TRUE	Other	53.60110340528531
KDSR	8.42710468182689e-59	-0.4377677441650494	0.132	0.263	3.0746291431645416e-54	TRUE	Other	53.512207260633375
DNPH1	4.518748143874596e-58	-0.410222357921201	0.09	0.205	1.6486652602926462e-53	TRUE	Other	52.7828675131639
HCST	1.1635555077432784e-57	0.5778802787367927	0.479	0.376	4.24523227000135e-53	TRUE	Other	52.37209854315376
SLC2A3	4.0142304896032874e-57	0.6410142682584152	0.377	0.267	1.4645919941317594e-52	TRUE	Other	51.83428334416742
H1FX	7.622789484914684e-57	0.6637652171434962	0.339	0.229	2.781174743571122e-52	TRUE	Other	51.55577172318743
IKZF1	6.511592502015774e-56	-0.38192837146798975	0.282	0.447	2.375754524360455e-51	TRUE	Other	50.624198434996906
KRAS	1.1232550067481995e-55	-0.4000258744978793	0.222	0.373	4.0981958921208066e-51	TRUE	Other	50.38740728633653
HSP90AA1	9.922900254789373e-55	0.3677163984100691	0.77	0.759	3.6203701579599034e-50	TRUE	Other	49.44124702357154
HTATIP2	1.3524257928925612e-54	-0.3712197823071012	0.077	0.181	4.934325505368509e-50	TRUE	Other	49.30677220455797
S100A11	3.6772008854144757e-54	-0.18501475848733895	0.62	0.798	1.3416267430434715e-49	FALSE	Other	48.87236829339508
TMEM245	7.428705762096295e-54	-0.38695259490874945	0.066	0.164	2.7103632973008328e-49	TRUE	Other	48.5669724923587
