MUTATION.GROUP	CD4 T cell	CD14 Mono	CD8 T cell	NK	B	CD16 Mono	DC	Platelet
Control	0.3733631692358694	0.15025692027183823	0.24067628045748385	0.08622023316205316	0.05536217470578485	0.007016962263108459	0.0029007127465605835	0.00524890877949058
DNMT3A	0.2552465395164891	0.27428717229061683	0.2273075205715379	0.10885373477068316	0.05820628946864834	0.017573515340945332	0.008228615168718504	0.008898386170823499
TET2	0.20339502731631173	0.37693722823057196	0.19676106589363362	0.11263797524807671	0.03891180733638087	0.009003233359348868	0.007748912922287881	0.005937116735422009
